episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-15595.488962547943,-0.4450767397987427,97037960.44089538,2769.3481860986126,-21487.181881006345,-0.613218660987624,-9703.796044089539,-0.27693481860986124,52.6398401826484,35040,31536000
1,-10952.807944202,-0.31258013539389273,109345441.25221612,3120.5890768326517,-10971.071763182388,-0.3131013631045202,-10934.544125221613,-0.3120589076832652,39.39783105022831,35040,31536000
2,-9690.59455179565,-0.27655806369279823,115732867.72428331,3302.8786450994094,-7807.902331162968,-0.2228282628756555,-11573.286772428333,-0.330287864509941,34.68036529680365,35040,31536000
3,-9299.735041258426,-0.26540339729618795,115743271.77211286,3303.1755642726275,-7025.142905305561,-0.20048923816511305,-11574.327177211286,-0.33031755642726274,33.701484018264836,35040,31536000
4,-9005.446980259429,-0.2570047654183627,116738851.06368098,3331.5882152876993,-6337.008854150759,-0.18085070930795547,-11673.885106368098,-0.3331588215287699,33.35901826484019,35040,31536000
5,-9009.202319610751,-0.2571119383450557,116303256.832295,3319.1568730677795,-6388.078955992004,-0.18230818938333346,-11630.325683229501,-0.331915687306778,33.31050228310502,35040,31536000
6,-9108.57119482119,-0.259947808071381,116724340.92272541,3331.1741130914784,-6544.708297369839,-0.18677820483361413,-11672.434092272542,-0.3331174113091479,33.34189497716895,35040,31536000
7,-8822.913829918785,-0.25179548601366397,115546492.2796636,3297.5597111776137,-6091.178431871212,-0.17383500090956655,-11554.649227966358,-0.32975597111776134,33.170662100456624,35040,31536000
8,-8820.892233584353,-0.251737792054348,116421579.99495678,3322.533675655159,-5999.626467673029,-0.17122221654318004,-11642.15799949568,-0.33225336756551593,33.14497716894977,35040,31536000
9,-8815.407098588654,-0.2515812528136031,116758912.89982817,3332.160756273635,-5954.922907194489,-0.16994642999984272,-11675.891289982817,-0.3332160756273635,33.29908675799087,35040,31536000
10,-8847.562402815442,-0.25249892702098864,116938967.3321273,3337.2992960081992,-6001.228072418155,-0.17126792444115738,-11693.89673321273,-0.33372992960081993,33.22203196347032,35040,31536000
11,-8822.647985049343,-0.251787899116705,115379915.47014368,3292.805806796338,-6107.30442308432,-0.17429521755377625,-11537.991547014368,-0.3292805806796338,33.721461187214615,35040,31536000
12,-8874.107715509515,-0.2532564987302944,115732354.64810513,3302.864002514416,-6174.979966208517,-0.17622659720914718,-11573.235464810514,-0.3302864002514416,34.05251141552512,35040,31536000
13,-8867.938100363517,-0.25308042523868485,116672071.03640679,3329.682392591518,-6068.669097086353,-0.17319261121821783,-11667.207103640678,-0.33296823925915175,34.00684931506849,35040,31536000
14,-8800.858342262189,-0.2511660485805419,115525004.11492564,3296.9464644670556,-6049.216273031813,-0.17263745071437822,-11552.500411492565,-0.3296946464467056,33.82420091324201,35040,31536000
15,-8814.361386242888,-0.25155140942473997,115560702.94716786,3297.9652667570736,-6072.652477768991,-0.17330629217377258,-11556.070294716787,-0.32979652667570736,33.550228310502284,35040,31536000
16,-8799.296793064332,-0.2511214838203291,115813001.41415057,3305.1655654723336,-6017.293444713603,-0.17172641109342474,-11581.300141415059,-0.3305165565472334,33.84132420091324,35040,31536000
17,-8800.921295542421,-0.2511678451924207,116564443.97289915,3326.6108439754325,-5945.398193794927,-0.16967460598729814,-11656.444397289917,-0.33266108439754327,33.67009132420091,35040,31536000
18,-8672.245040540289,-0.24749557764098998,115103614.10863802,3284.92049396798,-5834.1286702167745,-0.1664991058851819,-11510.361410863803,-0.32849204939679805,33.398972602739725,35040,31536000
19,-8775.919861614584,-0.2504543339501879,116728572.51586828,3331.2948777359666,-5878.982471642339,-0.1677791801267791,-11672.857251586829,-0.33312948777359674,33.76426940639269,35040,31536000
20,-937.4228312810378,-0.2525384782545899,18213838.72352097,4906.745345776124,-53.461790209978076,-0.01440242193156737,-1821.3838723520973,-0.49067453457761245,4.983836206896552,3712,3340800
