episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-22937.61368007795,-0.6546122625593022,182626249.28488392,5211.936338038925,-27612.602431667518,-0.7880308913147123,-18262.624928488392,-0.5211936338038925,50.93321917808219,35040,31536000
1,-20911.876309376174,-0.5968001229844798,189312285.63820213,5402.7478778025725,-22892.52405493213,-0.6533254581887024,-18931.22856382022,-0.5402747877802574,45.4708904109589,35040,31536000
2,-19898.711613779975,-0.5678856054160951,191501737.33043104,5465.232229749744,-20647.249494516844,-0.5892479878572159,-19150.17373304311,-0.5465232229749746,43.019406392694066,35040,31536000
3,-18944.973439141864,-0.5406670502038203,195281083.1643694,5573.090272955747,-18361.83856184678,-0.5240250731120656,-19528.10831643694,-0.5573090272955749,40.31392694063927,35040,31536000
4,-18702.592687238335,-0.5337497913024639,197505256.33595204,5636.565534701827,-17654.659740881467,-0.5038430291347451,-19750.525633595204,-0.5636565534701827,39.34646118721461,35040,31536000
5,-17794.662100946443,-0.507838530278152,200853982.62230754,5732.134207257635,-15503.925939662136,-0.44246363983054043,-20085.398262230756,-0.5732134207257635,36.94634703196347,35040,31536000
6,-17780.543488351555,-0.507435601836517,202266008.12578973,5772.431738749707,-15334.486164124142,-0.4376280297980634,-20226.600812578974,-0.5772431738749707,36.207191780821915,35040,31536000
7,-17486.041890809665,-0.49903087587927125,206137935.16445675,5882.9319396249075,-14358.290265173657,-0.40976855779605187,-20613.793516445672,-0.5882931939624907,35.5222602739726,35040,31536000
8,-17220.111725524584,-0.49144154467821305,205790132.4085299,5873.006061887269,-13861.210210196177,-0.3955824831676991,-20579.01324085299,-0.5873006061887269,35.31392694063927,35040,31536000
9,-16962.102869183625,-0.4840782782301263,205461041.69611236,5863.614203656175,-13378.101568756018,-0.3817951360946352,-20546.104169611237,-0.5863614203656174,35.176940639269404,35040,31536000
10,-16879.978743389533,-0.481734553178925,205502999.520076,5864.811630139156,-13209.657534771466,-0.37698794334393454,-20550.299952007597,-0.5864811630139154,35.14554794520548,35040,31536000
11,-16801.33589386802,-0.4794901796195212,205925997.60271588,5876.8834932281925,-13010.072027464454,-0.37129200991622296,-20592.599760271587,-0.5876883493228192,35.36529680365297,35040,31536000
12,-16630.136207071944,-0.4746043438091308,208947729.52507883,5963.12013484814,-12365.499461636004,-0.3528966741334476,-20894.772952507887,-0.5963120134848141,34.31221461187214,35040,31536000
13,-16520.743984898785,-0.4714824196603535,208078344.4028659,5938.308915606904,-12233.653529510984,-0.34913394776001666,-20807.83444028659,-0.5938308915606904,33.82420091324201,35040,31536000
14,-16498.998495064487,-0.47086182919704583,208199640.19387287,5941.770553478107,-12178.032970741686,-0.347546603046281,-20819.964019387284,-0.5941770553478106,34.07819634703196,35040,31536000
15,-16476.025601343867,-0.4702062100840145,208306197.35712093,5944.811568410985,-12121.431466975644,-0.34593126332693047,-20830.61973571209,-0.5944811568410985,33.849885844748854,35040,31536000
16,-16362.481169367817,-0.4669657867970267,209442703.0126231,5977.246090542897,-11780.692037473325,-0.33620696453976384,-20944.270301262313,-0.5977246090542898,33.396118721461185,35040,31536000
17,-16487.709165438122,-0.4705396451323665,209304539.64764354,5973.3030721359455,-12044.964366111892,-0.34374898305113843,-20930.453964764354,-0.5973303072135946,32.82819634703196,35040,31536000
18,-16431.268727844126,-0.46892890205034604,208401403.62948814,5947.528642394068,-12022.397092739444,-0.3431049398612855,-20840.140362948812,-0.5947528642394068,32.636986301369866,35040,31536000
19,-16432.740289730933,-0.4689708986795358,208316337.15643847,5945.10094624539,-12033.84686381802,-0.34343170273453255,-20831.633715643842,-0.5945100946245389,32.674086757990864,35040,31536000
20,-771.3787950684068,-0.20780678746454925,13865479.897021998,3735.3124722580815,-156.20960043461375,-0.04208232770329034,-1386.5479897021999,-0.37353124722580816,8.45905172413793,3712,3340800
