episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-19609.54445736257,-0.5596331180754157,161116027.84661096,4598.060155439811,-23107.486130064037,-0.6594602206068504,-16111.602784661094,-0.459806015543981,50.87328767123288,35040,31536000
1,-15549.293672198164,-0.44375838105588367,177626078.5862286,5069.237402575018,-13335.979485773467,-0.38059302185426563,-17762.60785862286,-0.5069237402575018,41.210045662100455,35040,31536000
2,-14122.745339140465,-0.4030463852494425,186703950.5066696,5328.309089802215,-9575.095627613968,-0.27326186151866344,-18670.39505066696,-0.5328309089802215,37.13755707762557,35040,31536000
3,-13892.572772867878,-0.3964775334722568,190187290.16390702,5427.719468148031,-8766.416529345051,-0.2501831201297104,-19018.729016390706,-0.5427719468148032,35.202625570776256,35040,31536000
4,-13539.962951227652,-0.3864144677861773,188984186.17869544,5393.384308752724,-8181.507284585758,-0.23349050469708213,-18898.41861786954,-0.5393384308752723,34.67465753424658,35040,31536000
5,-13364.961375436686,-0.381420130577531,192003800.67836565,5479.560521642855,-7529.542683036806,-0.21488420899077643,-19200.380067836566,-0.5479560521642856,34.158105022831045,35040,31536000
6,-13279.81702694296,-0.3789902119561347,191683090.0408993,5470.407820801921,-7391.325049795988,-0.21093964183207728,-19168.30900408993,-0.547040782080192,33.944063926940636,35040,31536000
7,-13099.128766199678,-0.37383358351026474,192063359.39372614,5481.260256670266,-6991.921593026738,-0.19954114135350282,-19206.335939372617,-0.5481260256670267,33.84703196347032,35040,31536000
8,-13248.261007516268,-0.3780896406254643,194970239.48076123,5564.219163263734,-6999.498066956408,-0.19975736492455504,-19497.023948076127,-0.5564219163263735,33.98972602739726,35040,31536000
9,-12996.842313432768,-0.3709144495842685,190850626.6591379,5446.650304199141,-6908.621960951744,-0.19716386874862282,-19085.062665913796,-0.5446650304199143,34.46632420091324,35040,31536000
10,-12910.232337291887,-0.36844270368983695,191501765.96768555,5465.233047022989,-6670.288077815216,-0.19036210267737488,-19150.176596768557,-0.546523304702299,33.97545662100457,35040,31536000
11,-12804.562385304376,-0.3654270087130244,192620825.7593543,5497.169684913079,-6347.042194673323,-0.18113704893474095,-19262.08257593543,-0.5497169684913079,33.62157534246575,35040,31536000
12,-12887.451455215061,-0.3677925643611604,194600142.3219693,5553.657029736567,-6314.888678233193,-0.18021942574866417,-19460.01423219693,-0.5553657029736566,33.59589041095891,35040,31536000
13,-12873.91791741653,-0.36740633325960415,194893184.71695203,5562.02011178516,-6258.517363137855,-0.1786106553406922,-19489.318471695202,-0.5562020111785161,33.573059360730596,35040,31536000
14,-12759.03892405167,-0.3641278231749906,194068289.9477431,5538.478594399061,-6111.248853329029,-0.17440778691007502,-19406.82899477431,-0.5538478594399061,33.39041095890411,35040,31536000
15,-12739.040134353803,-0.3635570814598688,193939898.40423128,5534.81445217555,-6084.090428284481,-0.1736327177021827,-19393.989840423124,-0.5534814452175549,33.37328767123287,35040,31536000
16,-12878.657710742164,-0.36754160133396585,196316028.8862505,5602.626395155551,-6125.712532859279,-0.17482056315237668,-19631.60288862505,-0.5602626395155551,33.31906392694064,35040,31536000
17,-12744.881309013601,-0.3637237816499315,193737134.4482024,5529.027809594817,-6116.049173206958,-0.1745447823403812,-19373.71344482024,-0.5529027809594818,33.14783105022831,35040,31536000
18,-12639.79901088585,-0.36072485761660533,193277477.57000658,5515.909748002471,-5951.850264771043,-0.16985874043296356,-19327.74775700066,-0.5515909748002471,33.02511415525114,35040,31536000
19,-12668.896094514514,-0.36155525383888454,195196503.803915,5570.676478422231,-5818.141808637528,-0.1660428598355459,-19519.650380391497,-0.5570676478422231,32.8310502283105,35040,31536000
20,-1477.7640404745841,-0.3981045367657824,29528555.393863603,7954.891000502048,-2.6725415628080356,-0.0007199734813599233,-2952.8555393863603,-0.7954891000502048,0.2963362068965517,3712,3340800
