episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-9677.380501146843,-0.2761809503751953,108234286.9178808,3088.878051309384,-8531.33231050561,-0.24347409561945232,-10823.428691788082,-0.3088878051309384,37.44292237442922,35040,31536000
1,-8765.192837251197,-0.25014819741013694,110031928.82053891,3140.1806170245122,-6527.192792448502,-0.18627833311782255,-11003.19288205389,-0.3140180617024512,30.17408675799087,35040,31536000
2,-8203.695327483436,-0.23412372509941312,110970878.00940204,3166.977112140469,-5310.302854026669,-0.15154973898477936,-11097.087800940206,-0.316697711214047,28.75285388127854,35040,31536000
3,-8066.828232900583,-0.23021770071063308,110542260.57994199,3154.7448795645546,-5079.430407806968,-0.14496091346481074,-11054.226057994198,-0.3154744879564554,29.726027397260275,35040,31536000
4,-8073.72099537519,-0.23041441196847004,109947256.18982896,3137.7641606686348,-5152.716371767483,-0.14705240787007656,-10994.725618982897,-0.3137764160668635,29.78025114155251,35040,31536000
5,-8049.806978087494,-0.22973193430614994,110533894.30889563,3154.5061161214508,-5046.224525285423,-0.14401325700015477,-11053.389430889563,-0.31545061161214505,29.26655251141553,35040,31536000
6,-8046.062914411884,-0.22962508317385513,111069468.89332542,3169.7907789191045,-4985.178939491226,-0.14227108845579983,-11106.946889332543,-0.3169790778919105,29.406392694063925,35040,31536000
7,-8051.822348681323,-0.2297894505902204,111648520.42282486,3186.3162221125817,-4938.7926550801585,-0.1409472789691826,-11164.852042282488,-0.31863162221125824,29.035388127853885,35040,31536000
8,-7964.398041756946,-0.2272944646620133,111082796.1083756,3170.171121814372,-4820.5164726763305,-0.13757181714258934,-11108.27961083756,-0.31701711218143724,28.741438356164384,35040,31536000
9,-7961.426071992031,-0.22720964817328856,111303548.52740562,3176.4711337729914,-4792.497291243503,-0.13677218296927807,-11130.354852740562,-0.3176471133772991,28.607305936073057,35040,31536000
10,-7997.833445640377,-0.2282486713938464,112568952.86939266,3212.584271386777,-4738.771604341486,-0.135238915649015,-11256.895286939267,-0.3212584271386777,28.544520547945208,35040,31536000
11,-7942.345014353109,-0.22666509744158417,110643875.42612046,3157.644846635858,-4820.302486094171,-0.13756571021958253,-11064.387542612047,-0.3157644846635858,28.94406392694064,35040,31536000
12,-7901.677104498126,-0.22550448357585975,111023057.53801009,3168.466253938644,-4701.048455195242,-0.13416234175785507,-11102.305753801007,-0.3168466253938644,28.230593607305938,35040,31536000
13,-8032.911491646642,-0.2292497571816964,112478055.92684709,3209.9901805607046,-4818.017390608571,-0.13750049630732222,-11247.80559268471,-0.3209990180560705,28.75285388127854,35040,31536000
14,-7952.977390698431,-0.22696853283956708,110810441.37925434,3162.3984411887654,-4824.910643471429,-0.13769722156025765,-11081.044137925435,-0.31623984411887657,28.758561643835616,35040,31536000
15,-7916.8584801860325,-0.22593774201444156,110440541.5853315,3151.8419402206478,-4789.662801838916,-0.13669129000681837,-11044.05415853315,-0.31518419402206477,29.03824200913242,35040,31536000
16,-8046.965326484957,-0.22965083694306382,112132363.8249492,3200.1245383832534,-4880.6942704749945,-0.13928922004780236,-11213.23638249492,-0.3200124538383254,29.317922374429223,35040,31536000
17,-7909.350156232369,-0.22572346336279592,110623197.75590314,3157.054730476688,-4756.380536874422,-0.135741453677923,-11062.319775590315,-0.3157054730476688,28.336187214611876,35040,31536000
18,-7904.899337727419,-0.22559644228674142,110572094.67698897,3155.5963092747993,-4752.589207755938,-0.13563325364600282,-11057.209467698896,-0.3155596309274799,28.045091324200914,35040,31536000
19,-8055.324874335458,-0.22989596947217267,111642634.16422656,3186.2391667635084,-4946.3863322482575,-0.14116802226799444,-11164.263416422658,-0.31862391667635087,28.708011073375385,35039,31535100
