episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-19090.673589466867,-0.5448251595167485,196296160.83253655,5602.059384490199,-18551.731095680076,-0.5294443805844771,-19629.616083253655,-0.5602059384490199,42.52283105022831,35040,31536000
1,-17665.615514332098,-0.5041556939021717,198215345.25754172,5656.830629496054,-15509.696502910025,-0.44262832485473813,-19821.53452575417,-0.5656830629496054,37.64554794520548,35040,31536000
2,-16604.699456523063,-0.4738784091473477,202648731.81103832,5783.35421835155,-12944.525731942298,-0.3694213964595405,-20264.873181103834,-0.5783354218351551,36.135844748858446,35040,31536000
3,-16468.522775153735,-0.469992088332013,202933997.91906425,5791.495374402519,-12643.64575840104,-0.360834639223774,-20293.399791906428,-0.5791495374402519,36.39269406392694,35040,31536000
4,-16301.383274215066,-0.4652221254056811,202415342.60388196,5776.693567462385,-12361.232288041936,-0.35277489406512375,-20241.534260388195,-0.5776693567462384,35.893264840182646,35040,31536000
5,-16308.167144325464,-0.4654157290047221,202995865.09766793,5793.260990230249,-12316.74777888413,-0.3515053589864192,-20299.586509766796,-0.579326099023025,35.43664383561644,35040,31536000
6,-16094.971467604628,-0.4593313775001321,203002548.2914571,5793.451720646606,-11889.68810606355,-0.3393175829356036,-20300.254829145706,-0.5793451720646605,34.977168949771695,35040,31536000
7,-16104.774025794513,-0.4596111308731311,204313421.96481618,5830.862498995895,-11778.205855107406,-0.3361360118466725,-20431.34219648161,-0.5830862498995893,34.7060502283105,35040,31536000
8,-16112.867390370306,-0.45984210588956353,204378268.63682863,5832.713146028214,-11787.907917057746,-0.3364128971763055,-20437.826863682865,-0.5832713146028214,34.714611872146115,35040,31536000
9,-16046.002662640667,-0.4579338659429414,204224489.47628126,5828.324471355058,-11669.556377653213,-0.3330352847503771,-20422.448947628123,-0.5828324471355057,34.483447488584474,35040,31536000
10,-16062.91017083861,-0.45841638615406993,205215660.82520348,5856.611324920191,-11604.254259156869,-0.3311716398161207,-20521.56608252035,-0.5856611324920191,34.21232876712329,35040,31536000
11,-16023.254060265801,-0.45728464783863587,203354210.19788405,5803.487733957878,-11711.087100743194,-0.33422052228148386,-20335.42101978841,-0.5803487733957879,34.35216894977169,35040,31536000
12,-15987.115367176095,-0.45625329244224017,205837754.58234674,5874.3651421902605,-11390.455276117518,-0.3250700706654543,-20583.775458234675,-0.5874365142190261,33.578767123287676,35040,31536000
13,-15908.746008974318,-0.4540167240004086,204345580.10193777,5831.7802540507355,-11382.934007754855,-0.32485542259574357,-20434.558010193778,-0.5831780254050736,33.618721461187214,35040,31536000
14,-15964.300249972983,-0.45560217608370385,204683963.90894884,5841.437326168631,-11460.20410905108,-0.3270606195505445,-20468.39639089489,-0.5841437326168633,33.476027397260275,35040,31536000
15,-15945.972428428175,-0.45507912181587257,204876748.84524482,5846.939179373426,-11404.269972331864,-0.3254643256944025,-20487.674884524484,-0.5846939179373426,33.55308219178082,35040,31536000
16,-15912.611589004278,-0.4541270430651906,204470619.2795311,5835.34872373091,-11378.161250055444,-0.32471921375729007,-20447.06192795311,-0.583534872373091,34.06107305936073,35040,31536000
17,-15972.08207743437,-0.45582426020075256,206091843.2358423,5881.616530703262,-11334.979831284507,-0.3234868673311789,-20609.184323584228,-0.5881616530703262,33.618721461187214,35040,31536000
18,-15942.02650443409,-0.45496650982974,205300057.26394016,5859.01989908505,-11354.047282474168,-0.32403102975097514,-20530.005726394018,-0.5859019899085051,33.28196347031964,35040,31536000
19,-15897.06535255974,-0.45369631988811726,204568082.4066031,5838.296823727935,-11337.322464459172,-0.3235629574034411,-20456.808240660313,-0.5838296823727935,33.519792231513456,35039,31535100
