episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-14641.349555717436,-0.41784673389604554,176104142.5528468,5025.803155046998,-11672.28485615019,-0.3331131522873913,-17610.41425528468,-0.5025803155046997,41.846461187214615,35040,31536000
1,-12703.64892898581,-0.3625470584756224,180199065.80986476,5142.667403249565,-7387.391276985141,-0.21082737662628828,-18019.906580986477,-0.5142667403249566,35.25684931506849,35040,31536000
2,-12337.024766108843,-0.35208404012867706,181544541.76954928,5181.065689770242,-6519.595355262757,-0.18606151128032983,-18154.454176954932,-0.5181065689770243,34.803082191780824,35040,31536000
3,-12324.874016342106,-0.351737272155882,181375652.30404794,5176.245784932875,-6512.182802279413,-0.1858499658184764,-18137.565230404794,-0.5176245784932875,34.60045662100457,35040,31536000
4,-12189.435641903545,-0.34787202174382265,180721530.94823834,5157.5779380205,-6306.71818898326,-0.17998624968559532,-18072.153094823836,-0.5157577938020501,34.53767123287671,35040,31536000
5,-12269.428831983047,-0.3501549324196075,183234298.2591608,5229.28933388016,-6215.427838050015,-0.17738093145119907,-18323.42982591608,-0.5229289333880159,34.1324200913242,35040,31536000
6,-12217.480074649511,-0.3486723765596322,184017777.03691697,5251.648888039868,-6033.182445607323,-0.1721798643152775,-18401.777703691696,-0.5251648888039867,33.87271689497717,35040,31536000
7,-12159.068170419201,-0.3470053701603653,183201363.06628942,5228.349402576753,-5998.000034209455,-0.17117580006305524,-18320.136306628945,-0.5228349402576754,33.90696347031963,35040,31536000
8,-12064.516058232526,-0.3443069651322068,182179355.4064967,5199.182517308696,-5911.096575815385,-0.16869567853354409,-18217.935540649672,-0.5199182517308697,33.624429223744286,35040,31536000
9,-11978.882606735635,-0.3418630880917704,181527509.10628682,5180.579597782158,-5805.014302842586,-0.16566821640532495,-18152.75091062868,-0.5180579597782158,33.35045662100457,35040,31536000
10,-12147.91710788551,-0.3466871320743582,183458298.94537482,5235.68204752782,-5950.004321233532,-0.16980605939593413,-18345.82989453748,-0.523568204752782,33.715753424657535,35040,31536000
11,-12141.38691584468,-0.34650076814625225,184418895.69252345,5263.096338256948,-5840.884262437017,-0.16669190246680984,-18441.889569252347,-0.5263096338256948,33.41038812785388,35040,31536000
12,-12010.603930184296,-0.34276837700297647,182831758.68880954,5217.801332443195,-5738.031991487635,-0.16375662076163344,-18283.175868880953,-0.5217801332443195,32.99657534246575,35040,31536000
13,-12021.40185378787,-0.3430765369231698,182368299.86623162,5204.574767871907,-5805.973720952572,-0.16569559705914874,-18236.82998662317,-0.5204574767871909,33.68721461187214,35040,31536000
14,-12127.021267199307,-0.3460907895890213,184604016.51568943,5268.3794667719585,-5793.64088282967,-0.16534363250084674,-18460.401651568944,-0.5268379466771959,33.56449771689498,35040,31536000
15,-11951.39454233305,-0.3410786113679523,181927380.1937836,5191.991443886519,-5710.051065287736,-0.16295807834725273,-18192.738019378365,-0.519199144388652,33.230593607305934,35040,31536000
16,-12050.616468869723,-0.343910287353588,183320001.88074833,5231.735213491676,-5769.232749664612,-0.16464705335800833,-18332.000188074835,-0.5231735213491676,33.52739726027397,35040,31536000
17,-11973.956471680125,-0.3417225020456657,182380565.9200551,5204.9248264855905,-5709.856351354736,-0.16295252144277214,-18238.05659200551,-0.5204924826485591,33.29623287671233,35040,31536000
18,-11940.440679979603,-0.34076600114097044,181932273.43295395,5192.131091123115,-5687.654016663812,-0.16231889316962936,-18193.22734329539,-0.5192131091123114,33.1763698630137,35040,31536000
19,-12101.119655937371,-0.34536144455998663,185334455.5594236,5289.376282411701,-5668.793755932386,-0.16178526087880324,-18533.44555594236,-0.5289376282411701,33.1259453751534,35039,31535100
