episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-27251.07618569432,-0.777713361463879,76209222.90562458,2174.9207450235326,-46881.230080826186,-1.3379346484254049,-7620.922290562458,-0.21749207450235325,76.88356164383562,35040,31536000
1,-9017.830037630985,-0.25735816317440025,120426866.10793324,3436.839786185309,-5992.973464468647,-0.1710323477302696,-12042.686610793324,-0.34368397861853095,33.91552511415525,35040,31536000
2,-8981.305866889423,-0.25631580670346527,119553202.3496686,3411.9064597508163,-6007.291498811983,-0.17144096743184883,-11955.32023496686,-0.34119064597508164,33.90981735159818,35040,31536000
3,-9028.747374901417,-0.2576697310188761,120667127.18282469,3443.6965520212525,-5990.782031520365,-0.17096980683562688,-12066.712718282468,-0.3443696552021252,34.0810502283105,35040,31536000
4,-8986.587901437855,-0.2564665496985689,119935444.10814509,3422.8151857347343,-5979.631392061202,-0.17065158082366444,-11993.544410814511,-0.3422815185734735,33.91837899543379,35040,31536000
5,-8972.18401200252,-0.2560554797945925,119634000.98055829,3414.2123567510926,-5980.967925949211,-0.17068972391407566,-11963.40009805583,-0.3414212356751093,33.99828767123287,35040,31536000
6,-9078.179725431015,-0.2590804716161819,121515918.93071023,3467.9200608079404,-6004.767557791008,-0.17136893715156987,-12151.591893071025,-0.3467920060807941,34.12671232876712,35040,31536000
7,-9075.548571996154,-0.2590053816208948,121514577.79265201,3467.8817863199774,-5999.639364727108,-0.1712225846097919,-12151.4577792652,-0.34678817863199773,33.9041095890411,35040,31536000
8,-9001.436082150878,-0.2568902991481415,120083430.63791357,3427.038545602556,-5994.5291005103945,-0.17107674373602724,-12008.343063791359,-0.34270385456025565,34.029680365296805,35040,31536000
9,-8979.471277221726,-0.2562634496924009,120120464.37373237,3428.0954444558324,-5946.896117070215,-0.16971735493921847,-12012.046437373236,-0.3428095444455832,33.701484018264836,35040,31536000
10,-9053.626779231086,-0.2583797596812525,121043405.50915347,3454.4350887315486,-6002.913007546826,-0.17131601048935005,-12104.340550915349,-0.34544350887315495,33.869863013698634,35040,31536000
11,-9007.853987338867,-0.2570734585427759,120707400.69894956,3444.8459103581495,-5944.967904782779,-0.16966232604973686,-12070.740069894953,-0.34448459103581486,33.884132420091326,35040,31536000
12,-9046.807835629077,-0.2581851551264006,121281080.66225056,3461.218055429525,-5965.507605033096,-0.17024850470984865,-12128.108066225059,-0.3461218055429526,33.96974885844749,35040,31536000
13,-9046.044390017556,-0.2581633672950216,120665214.89429119,3443.6419775768036,-6025.567290605993,-0.17196253683236282,-12066.52148942912,-0.34436419775768035,34.06963470319635,35040,31536000
14,-9019.077696951492,-0.25739376989016816,120103938.09346622,3427.623804037278,-6027.7615845563605,-0.17202515937660845,-12010.393809346624,-0.34276238040372786,34.0810502283105,35040,31536000
15,-9003.125956696194,-0.2569385261614211,120419650.15403578,3436.633851427962,-5964.286897988813,-0.17021366718004602,-12041.965015403577,-0.34366338514279615,33.938356164383556,35040,31536000
16,-9023.200426757361,-0.2575114277042626,120446659.27596332,3437.4046597021497,-6001.7349259183875,-0.17128238943831015,-12044.665927596334,-0.343740465970215,33.97545662100457,35040,31536000
17,-9114.076713840961,-0.2601049290479726,121563066.07739769,3469.265584400619,-6071.846819942151,-0.17328329965588332,-12156.306607739769,-0.34692655844006187,33.96974885844749,35040,31536000
18,-9017.695567883273,-0.257354325567445,120419305.62095042,3436.6240188627403,-5993.460573671501,-0.1710462492486159,-12041.930562095044,-0.34366240188627406,33.98116438356165,35040,31536000
19,-8977.996183294794,-0.25622135226297926,119380766.77249674,3406.9853530963683,-6017.915689339912,-0.17174416921632168,-11938.076677249675,-0.34069853530963684,33.99543378995434,35040,31536000
20,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,0,0
