episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-31397.6293767203,-0.8960510666872231,156166254.46825868,4456.799499664917,-47178.63330661473,-1.3464221834079546,-15616.625446825865,-0.4456799499664916,72.63413242009132,35040,31536000
1,-16705.003888785694,-0.47674097856123554,219812833.11161005,6273.1972919980035,-11428.724466410373,-0.32616222792267047,-21981.283311161013,-0.6273197291998006,34.728881278538815,35040,31536000
2,-16621.985047299808,-0.47437171938641004,218576659.73463923,6237.918371422353,-11386.304121135694,-0.3249516016305849,-21857.66597346393,-0.6237918371422354,34.66038812785388,35040,31536000
3,-16707.91979593331,-0.476824195089421,219211527.8695516,6256.036754268025,-11494.686804911464,-0.3280447147520395,-21921.152786955157,-0.6256036754268024,34.76312785388128,35040,31536000
4,-16752.59193372058,-0.47809908486645497,220574787.88704053,6294.942576684946,-11447.705078737114,-0.32670391206441535,-22057.47878870405,-0.6294942576684947,34.70890410958904,35040,31536000
5,-16760.0534165279,-0.47831202672739437,220322040.73628145,6287.729473067393,-11487.902759427652,-0.3278511061480494,-22032.204073628145,-0.6287729473067393,34.66609589041096,35040,31536000
6,-16709.082818908824,-0.47685738638438424,219330597.373178,6259.434856540468,-11485.105900499842,-0.32777128711472153,-21933.059737317806,-0.625943485654047,34.714611872146115,35040,31536000
7,-16736.79121568955,-0.47764815113269266,219669922.72391438,6269.11879919847,-11506.590158987663,-0.32838442234553833,-21966.992272391442,-0.6269118799198471,34.74315068493151,35040,31536000
8,-16668.140390085555,-0.4756889380732179,219100777.86691588,6252.876080676823,-11426.202993479525,-0.3260902680787536,-21910.077786691592,-0.6252876080676825,34.643264840182646,35040,31536000
9,-16761.399073408284,-0.47835043017717704,221188317.73596257,6312.45199018158,-11403.96637322031,-0.3254556613361961,-22118.83177359626,-0.6312451990181581,34.6175799086758,35040,31536000
10,-16747.1689797247,-0.4779443201976228,220216841.67372423,6284.727216715874,-11472.65379207698,-0.3274159187236581,-22021.684167372423,-0.6284727216715874,34.71746575342466,35040,31536000
11,-16649.237551727187,-0.475149473508196,218692161.64406294,6241.2146587917505,-11429.25893904808,-0.3261774811372169,-21869.216164406298,-0.6241214658791752,34.67465753424658,35040,31536000
12,-16770.42910334757,-0.4786081365110608,220536540.33400357,6293.851036929325,-11487.20417329478,-0.32783116932918893,-22053.65403340036,-0.6293851036929327,34.82591324200913,35040,31536000
13,-16709.066760727466,-0.4768569281029528,220000173.25872484,6278.5437573837,-11418.116195582446,-0.32585948046753554,-22000.017325872486,-0.62785437573837,34.734589041095894,35040,31536000
14,-16747.85022848358,-0.4779637622284127,220176319.96727866,6283.570775321879,-11478.068460239288,-0.3275704469246372,-22017.631996727872,-0.6283570775321882,34.803082191780824,35040,31536000
15,-16728.852676832423,-0.47742159465845957,220271452.9465165,6286.285757606065,-11430.560059013189,-0.3262146135563125,-22027.145294651655,-0.6286285757606066,34.820205479452056,35040,31536000
16,-16642.205278803984,-0.4749487807877849,218524612.52804327,6236.433005937308,-11431.949304803646,-0.3262542609818392,-21852.461252804325,-0.6236433005937307,34.728881278538815,35040,31536000
17,-16609.525040142584,-0.4740161255748454,218430345.23808137,6233.7427293973,-11376.015556477032,-0.32465797820996095,-21843.034523808135,-0.6233742729397299,34.900114155251146,35040,31536000
18,-16743.23762272374,-0.4778321239361798,219254891.0234861,6257.274287199946,-11560.986143098862,-0.3299368191523648,-21925.489102348613,-0.6257274287199946,34.728881278538815,35040,31536000
19,-16721.10031156488,-0.47720035135744515,219651598.38866475,6268.595844425364,-11477.040784263281,-0.32754111827235394,-21965.159838866475,-0.6268595844425364,34.646118721461185,35040,31536000
20,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,0,0
