episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-31630.052177636335,-0.9026841374896214,129194749.66183732,3687.0647734542617,-50340.62938908894,-1.436661797633817,-12919.474966183732,-0.36870647734542616,77.60844748858447,35040,31536000
1,-12938.616849867125,-0.36925276398022616,200219589.0939828,5714.029369120513,-5855.274790335969,-0.16710259104840094,-20021.95890939828,-0.5714029369120514,33.42751141552511,35040,31536000
2,-12764.045077500683,-0.3642706928510469,196727512.25154892,5614.369641882104,-5855.338929846476,-0.16710442151388347,-19672.75122515489,-0.5614369641882103,33.42751141552511,35040,31536000
3,-12854.090281397703,-0.36684047606728604,198529219.71384513,5665.7882338426125,-5855.258591410894,-0.1671021287503109,-19852.921971384512,-0.5665788233842612,33.43321917808219,35040,31536000
4,-12843.81538494399,-0.36654724272100425,198324606.1802618,5659.9488065143205,-5855.170151861796,-0.16709960479057637,-19832.46061802618,-0.5659948806514321,33.42751141552511,35040,31536000
5,-12861.834078037495,-0.3670614748298372,198681341.491428,5670.12960877363,-5855.534006932185,-0.1671099887823112,-19868.134149142803,-0.5670129608773631,33.43607305936073,35040,31536000
6,-12989.52392821154,-0.3707055915585485,201230584.16859853,5742.881968281921,-5855.989439563225,-0.16712298628890482,-20123.058416859854,-0.5742881968281922,33.44463470319635,35040,31536000
7,-12995.434423896852,-0.3708742700883805,201356969.8278257,5746.488864949363,-5855.171865011134,-0.1670996536818246,-20135.696982782567,-0.5746488864949363,33.42751141552511,35040,31536000
8,-12817.333650015691,-0.36579148544565326,197794722.6407014,5644.826559380748,-5855.19503596124,-0.16710031495323174,-19779.472264070144,-0.5644826559380749,33.42751141552511,35040,31536000
9,-12863.952579107709,-0.36712193433526563,198726759.532881,5671.425785755736,-5855.229204927315,-0.1671012900949576,-19872.6759532881,-0.5671425785755736,33.43036529680366,35040,31536000
10,-12896.122257784991,-0.3680400187724027,199370608.9808936,5689.800484614544,-5855.183617480622,-0.16709998908335108,-19937.06089808936,-0.5689800484614543,33.42751141552511,35040,31536000
11,-12870.201471934904,-0.36730027031777696,198853361.34579113,5675.038851192669,-5855.066809290698,-0.16709665551628705,-19885.33613457911,-0.5675038851192669,33.42751141552511,35040,31536000
12,-12912.521797887228,-0.3685080421771469,199697899.72184357,5699.140973796905,-5855.253623590097,-0.16710198697460324,-19969.789972184357,-0.5699140973796906,33.42751141552511,35040,31536000
13,-12894.684842768946,-0.36799899665436486,199339436.23336387,5688.910851408787,-5855.426062201511,-0.16710690816785134,-19933.943623336385,-0.5688910851408786,33.43607305936073,35040,31536000
14,-12781.111554197822,-0.3647577498344127,197068539.2846886,5624.102148535633,-5855.369179926776,-0.16710528481526188,-19706.85392846886,-0.5624102148535634,33.43036529680366,35040,31536000
15,-12899.548805493307,-0.36813780837595056,199439012.5247163,5691.7526405455565,-5855.196358514983,-0.1671003526973454,-19943.901252471635,-0.5691752640545558,33.42751141552511,35040,31536000
16,-12989.873137860319,-0.3707155575873379,201243608.51494968,5743.253667664089,-5855.385424225666,-0.16710574840826672,-20124.36085149497,-0.574325366766409,33.42751141552511,35040,31536000
17,-12871.167875033807,-0.36732785031489174,198867219.38293362,5675.4343431202515,-5855.613811774246,-0.16711226631775816,-19886.72193829336,-0.5675434343120251,33.44463470319635,35040,31536000
18,-12928.084174942347,-0.3689521739424186,200005170.3330698,5707.910112245143,-5855.651316577712,-0.16711333666032285,-20000.517033306984,-0.5707910112245144,33.43607305936073,35040,31536000
19,-12833.428551253204,-0.36625081481887,198115369.0084863,5653.977426041276,-5855.32020165778,-0.16710388703361242,-19811.536900848627,-0.5653977426041275,33.43607305936073,35040,31536000
20,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,0,0
