episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-61228.66892767943,-1.7473935196255543,919211762.5529814,26233.21240162618,-30536.161600060717,-0.8714657990884908,-91921.17625529812,-2.6233212401626176,50.742009132420094,35040,31536000
1,-51210.60449793828,-1.4614898543932158,936034472.2161291,26713.312563245694,-8817.761774263636,-0.25164845246186174,-93603.44722161292,-2.6713312563245695,23.755707762557076,35040,31536000
2,-48494.96441685636,-1.3839887105267226,937267796.381433,26748.510170702997,-3263.1491955694078,-0.0931264039831452,-93726.77963814331,-2.6748510170703,12.11472602739726,35040,31536000
3,-47886.89427897619,-1.3666351107013754,938188467.5369941,26774.78503244846,-1954.9418042529824,-0.05579171815790475,-93818.84675369941,-2.6774785032448465,8.604452054794521,35040,31536000
4,-47623.95708435874,-1.3591311953298728,942785982.6990081,26905.992656935163,-969.3158988166765,-0.02766312496622935,-94278.59826990083,-2.6905992656935167,5.054223744292238,35040,31536000
5,-47289.81185360326,-1.349595087146212,941914473.8214941,26881.120828238985,-388.17632505711344,-0.011078091468524927,-94191.44738214942,-2.6881120828238987,2.5342465753424657,35040,31536000
6,-47217.07128928308,-1.3475191577991745,941491531.6263751,26869.050560113443,-284.9894159286411,-0.008133259587004598,-94149.15316263752,-2.6869050560113448,1.832191780821918,35040,31536000
7,-47174.21121155201,-1.3462959820648404,942049938.8167727,26884.986838378216,-143.4285414267415,-0.004093280291859062,-94204.99388167726,-2.6884986838378215,1.0302511415525115,35040,31536000
8,-47262.62183088629,-1.3488191161782617,944517837.0764965,26955.417724785857,-73.4599541229135,-0.0020964598779370292,-94451.78370764965,-2.695541772478586,0.5821917808219178,35040,31536000
9,-46926.41462671829,-1.3392241617214122,937936510.3779666,26767.59447425704,-59.17821563990624,-0.001688876017120612,-93793.65103779666,-2.6767594474257037,0.4480593607305936,35040,31536000
10,-46978.865760507426,-1.3407210548090018,939146819.9712149,26802.13527315111,-43.04952389336671,-0.0012285823028928857,-93914.68199712149,-2.680213527315111,0.3538812785388128,35040,31536000
11,-46973.84233841206,-1.3405776923062802,939240458.8147696,26804.80761457676,-23.638795347171065,-0.0006746231548850189,-93924.04588147695,-2.6804807614576758,0.21974885844748857,35040,31536000
12,-46900.37026979278,-1.3384808866949995,937731979.9698702,26761.757419231457,-27.542542598532787,-0.0007860314668531046,-93773.19799698703,-2.676175741923146,0.23401826484018262,35040,31536000
13,-46871.696171565556,-1.3376625619739029,936743969.3505771,26733.560769137475,-68.99540807342576,-0.0019690470340589543,-93674.3969350577,-2.673356076913747,0.5450913242009132,35040,31536000
14,-46886.11452721411,-1.33807404472643,937007059.390147,26741.069046522458,-71.5231154135051,-0.00204118480061373,-93700.70593901469,-2.6741069046522457,0.5821917808219178,35040,31536000
15,-47000.37057174014,-1.3413347765907573,939549699.7066143,26813.6329824947,-45.77117281884561,-0.0013062549320446808,-93954.96997066145,-2.6813632982494706,0.3624429223744292,35040,31536000
16,-46921.54454641648,-1.3390851754114292,938289246.9718904,26777.661157873586,-14.164395643913416,-0.0004042350354998121,-93828.92469718905,-2.677766115787359,0.1541095890410959,35040,31536000
17,-46892.35994447964,-1.3382522815205378,937586609.5956789,26757.60872133787,-26.058929391377657,-0.0007436909072881751,-93758.6609595679,-2.6757608721337873,0.2168949771689498,35040,31536000
18,-46771.07168730138,-1.3347908586558612,934990746.8834903,26683.525881378147,-43.0686862537301,-0.0012291291739078224,-93499.07468834902,-2.6683525881378145,0.3396118721461187,35040,31536000
19,-46724.37558962891,-1.3334582074665784,934247861.2092792,26662.32480620089,-23.96505832989327,-0.0006839343130677304,-93424.7861209279,-2.6662324806200886,0.19406392694063926,35040,31536000
20,-2581.8998319528373,-0.6955549116252255,51633696.84533828,13909.93988290363,-0.4299793718460272,-0.0001158349600878306,-5163.369684533829,-1.3909939882903635,0.10775862068965517,3712,3340800
