episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-45377.90361039573,-1.2950314957304718,640828046.9910591,18288.47166070374,-26673.00252168553,-0.7612158253905688,-64082.80469910591,-1.828847166070374,47.394406392694066,35040,31536000
1,-36469.751138812084,-1.0408034000802535,657853086.1784444,18774.346066736427,-7154.193659779744,-0.20417219348686483,-65785.30861784444,-1.8774346066736425,21.612442922374427,35040,31536000
2,-34763.528624419385,-0.9921098351717861,661203808.5905721,18869.971706351946,-3406.676389781548,-0.09722249970837751,-66120.38085905722,-1.8869971706351945,13.276255707762557,35040,31536000
3,-34377.194506141095,-0.981084318097634,660866934.479561,18860.357719165553,-2667.6955643261017,-0.07613286427871295,-66086.69344795609,-1.886035771916555,11.549657534246576,35040,31536000
4,-34030.135630823825,-0.971179669829447,665228288.6615704,18984.82558965669,-1537.4423954906104,-0.04387678069322518,-66522.82886615706,-1.8984825589656693,7.531392694063927,35040,31536000
5,-33774.92534943922,-0.9638962713881055,666270578.473475,19014.571303466753,-922.7928515309322,-0.026335412429535736,-66627.05784734752,-1.9014571303466759,5.456621004566211,35040,31536000
6,-33683.78600134204,-0.9612952625953779,666246299.0750984,19013.87839826194,-742.9420951742566,-0.021202685364562115,-66624.62990750984,-1.9013878398261939,4.666095890410959,35040,31536000
7,-33504.009209851785,-0.9561646463998797,664431342.7945123,18962.08170075663,-564.8841402523512,-0.01612112272409678,-66443.13427945122,-1.8962081700756626,3.7728310502283104,35040,31536000
8,-33852.867404048244,-0.966120645092701,673513226.0853473,19221.267867732513,-354.4121995617458,-0.01011450341215028,-67351.32260853473,-1.9221267867732514,2.5,35040,31536000
9,-33221.12382894655,-0.9480914334745019,662170102.8068047,18897.54859608461,-225.23737721261918,-0.006428007340542784,-66217.01028068048,-1.8897548596084612,1.7608447488584473,35040,31536000
10,-33328.48580837748,-0.95115541690575,665161560.3693167,18982.92124341657,-140.8155798232897,-0.0040187094698427425,-66516.15603693167,-1.8982921243416573,1.2471461187214612,35040,31536000
11,-33201.72498050911,-0.9475378133706939,662458481.2550269,18905.778574629763,-157.6018355155369,-0.004497769278411441,-66245.8481255027,-1.8905778574629766,1.4240867579908676,35040,31536000
12,-33355.461530052045,-0.9519252719763711,664377435.4798551,18960.543249995862,-273.1795121185761,-0.00779621895315571,-66437.7435479855,-1.8960543249995863,2.2345890410958904,35040,31536000
13,-33060.134150748076,-0.9434969791880159,655467604.3546023,18706.267247562853,-573.5078660359142,-0.01636723361974641,-65546.76043546022,-1.8706267247562849,3.975456621004566,35040,31536000
14,-33083.14813515195,-0.9441537709803638,656331911.2609756,18730.933540552956,-533.1051442063219,-0.015214187905431562,-65633.19112609756,-1.8730933540552956,3.8156392694063928,35040,31536000
15,-32893.4422449079,-0.9387397900944036,654034642.5905335,18665.37222004947,-383.4202307624578,-0.010942358183860097,-65403.464259053355,-1.8665372220049474,2.973744292237443,35040,31536000
16,-33118.42036345911,-0.9451603985005453,659451240.1526449,18819.955483808357,-291.71671165372493,-0.008325248620254707,-65945.12401526449,-1.881995548380836,2.5627853881278537,35040,31536000
17,-33127.705992985124,-0.9454253993431827,661143499.6672336,18868.250561279496,-141.06201924688656,-0.004025742558415713,-66114.34996672336,-1.8868250561279496,1.2842465753424657,35040,31536000
18,-32816.28842874464,-0.9365379117792421,655343762.1730677,18702.7329387291,-98.20064018251503,-0.002802529685574059,-65534.37621730676,-1.8702732938729099,0.9075342465753424,35040,31536000
19,-33369.78594567544,-0.9523340737921072,666559286.1132655,19022.810676748446,-83.64328002431691,-0.0023870799093697746,-66655.92861132656,-1.9022810676748445,0.7562785388127854,35040,31536000
20,-1309.7336510974264,-0.35283772928271184,26105783.535783608,7032.808064596877,-8.888948616491824,-0.002394652105735944,-2610.578353578361,-0.7032808064596878,0.8890086206896552,3712,3340800
