episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-13759.909387594029,-0.3926914779564506,249617625.1354734,7123.790671674469,-2558.0562616407165,-0.07300388874545424,-24961.76251354734,-0.7123790671674469,9.20376712328767,35040,31536000
1,-12585.281327844341,-0.35916898766679056,248125810.109529,7081.216041938613,-357.98164473578385,-0.010216371139719859,-24812.5810109529,-0.7081216041938614,3.2505707762557075,35040,31536000
2,-12559.64545963747,-0.35843737042344376,245738717.3041514,7013.091247264594,-545.4191888598037,-0.015565616120428189,-24573.87173041514,-0.7013091247264595,3.9326484018264845,35040,31536000
3,-12664.523689275116,-0.36143047058433553,249794720.595027,7128.844765839812,-349.5753190475358,-0.009976464584689948,-24979.4720595027,-0.7128844765839811,3.2391552511415527,35040,31536000
4,-12491.660612282769,-0.3564971635925448,243442128.7337177,6947.549336007925,-639.1083511937632,-0.018239393584296895,-24344.212873371776,-0.6947549336007927,3.75,35040,31536000
5,-12426.220111288916,-0.3546295693860992,242571605.33353192,6922.705631664724,-595.2796892246427,-0.016988575605726104,-24257.160533353188,-0.6922705631664723,5.017123287671233,35040,31536000
6,-12853.599959053188,-0.36682648284969144,250209598.93722948,7140.684901176641,-686.240024383431,-0.01958447558171892,-25020.959893722946,-0.7140684901176639,4.957191780821918,35040,31536000
7,-12788.441141696638,-0.36496692755983556,250457245.56974998,7147.752442059074,-531.1577264182765,-0.015158610913763599,-25045.724556974998,-0.7147752442059074,4.386415525114155,35040,31536000
8,-12454.044367575949,-0.35542364062716747,244610864.15168357,6980.903657296905,-447.0023199835378,-0.012756915524644344,-24461.086415168356,-0.6980903657296905,3.8156392694063928,35040,31536000
9,-12438.04861720157,-0.35496714090187126,244838016.7297204,6987.386322195217,-392.29556143110017,-0.011195649584220896,-24483.80167297204,-0.6987386322195217,4.272260273972603,35040,31536000
10,-12652.00987488519,-0.3610733411782303,248481751.1802341,7091.374177518097,-455.84463174696987,-0.013009264604650966,-24848.175118023413,-0.7091374177518097,4.900114155251142,35040,31536000
11,-12422.800741916444,-0.35453198464373414,243465507.23855,6948.216530780537,-499.0507599778876,-0.0142423162094146,-24346.550723855,-0.6948216530780537,4.811643835616438,35040,31536000
12,-12429.211356836015,-0.354714935982763,244567038.62452847,6979.652928782205,-401.7188512191849,-0.011464579087305506,-24456.703862452843,-0.6979652928782204,4.192351598173516,35040,31536000
13,-12468.360307965353,-0.3558322005697875,244238888.44298565,6970.287912185664,-512.8317716321413,-0.0146356099210086,-24423.888844298566,-0.6970287912185664,4.891552511415525,35040,31536000
14,-12446.31967803932,-0.35520318715865634,244540132.15448883,6978.885050071029,-438.62614062975564,-0.012517869310209921,-24454.013215448886,-0.6978885050071029,4.5034246575342465,35040,31536000
15,-12327.81785287966,-0.35182128575569804,242665773.6347052,6925.393083182225,-389.05834228879314,-0.01110326319317332,-24266.57736347052,-0.6925393083182225,4.66324200913242,35040,31536000
16,-12463.803924468566,-0.35570216679419425,244665002.3967469,6982.448698537298,-461.1076092624396,-0.013159463734658665,-24466.50023967469,-0.6982448698537297,5.045662100456621,35040,31536000
17,-12345.383258493774,-0.35232258157801866,241905258.7083057,6903.688890077217,-500.24064615698046,-0.014276274148315652,-24190.52587083057,-0.6903688890077218,5.156963470319634,35040,31536000
18,-12274.43897127785,-0.3502979158469706,241091583.13753384,6880.467555294916,-439.71962880231393,-0.012549076164449599,-24109.15831375338,-0.6880467555294915,4.746004566210046,35040,31536000
19,-12629.252740423623,-0.360434165941483,247159234.97285134,7053.832443073471,-542.5819835621056,-0.015485087575618757,-24715.923497285137,-0.7053832443073471,5.733611119038786,35039,31535100
