Time,EAST ZONE::Des Heat Load [W],EAST ZONE:DAVIS MONTHAN AFB ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],EAST ZONE::Des Heat Mass Flow [kg/s],EAST ZONE:DAVIS MONTHAN AFB ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],WEST ZONE::Des Heat Load [W],WEST ZONE:DAVIS MONTHAN AFB ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],WEST ZONE::Des Heat Mass Flow [kg/s],WEST ZONE:DAVIS MONTHAN AFB ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,0.000000E+00,5.411149E+04,0.000000E+00,4.426158E+00,0.000000E+00,4.864835E+04,0.000000E+00,3.979290E+00
00:30:00,0.000000E+00,5.408683E+04,0.000000E+00,4.424141E+00,0.000000E+00,4.862628E+04,0.000000E+00,3.977485E+00
00:45:00,0.000000E+00,5.406212E+04,0.000000E+00,4.422120E+00,0.000000E+00,4.860368E+04,0.000000E+00,3.975636E+00
01:00:00,0.000000E+00,5.403741E+04,0.000000E+00,4.420098E+00,0.000000E+00,4.858066E+04,0.000000E+00,3.973753E+00
01:15:00,0.000000E+00,5.401287E+04,0.000000E+00,4.418091E+00,0.000000E+00,4.855753E+04,0.000000E+00,3.971861E+00
01:30:00,0.000000E+00,5.398860E+04,0.000000E+00,4.416106E+00,0.000000E+00,4.853443E+04,0.000000E+00,3.969971E+00
01:45:00,0.000000E+00,5.396465E+04,0.000000E+00,4.414147E+00,0.000000E+00,4.851145E+04,0.000000E+00,3.968092E+00
02:00:00,0.000000E+00,5.394109E+04,0.000000E+00,4.412220E+00,0.000000E+00,4.848867E+04,0.000000E+00,3.966228E+00
02:15:00,0.000000E+00,5.391784E+04,0.000000E+00,4.410318E+00,0.000000E+00,4.846605E+04,0.000000E+00,3.964378E+00
02:30:00,0.000000E+00,5.389489E+04,0.000000E+00,4.408441E+00,0.000000E+00,4.844361E+04,0.000000E+00,3.962542E+00
02:45:00,0.000000E+00,5.387225E+04,0.000000E+00,4.406589E+00,0.000000E+00,4.842135E+04,0.000000E+00,3.960722E+00
03:00:00,0.000000E+00,5.384993E+04,0.000000E+00,4.404763E+00,0.000000E+00,4.839931E+04,0.000000E+00,3.958919E+00
03:15:00,0.000000E+00,5.382783E+04,0.000000E+00,4.402956E+00,0.000000E+00,4.837742E+04,0.000000E+00,3.957129E+00
03:30:00,0.000000E+00,5.380593E+04,0.000000E+00,4.401165E+00,0.000000E+00,4.835566E+04,0.000000E+00,3.955348E+00
03:45:00,0.000000E+00,5.378423E+04,0.000000E+00,4.399389E+00,0.000000E+00,4.833401E+04,0.000000E+00,3.953577E+00
04:00:00,0.000000E+00,5.376271E+04,0.000000E+00,4.397629E+00,0.000000E+00,4.831249E+04,0.000000E+00,3.951817E+00
04:15:00,0.000000E+00,5.374150E+04,0.000000E+00,4.395894E+00,0.000000E+00,4.829121E+04,0.000000E+00,3.950076E+00
04:30:00,0.000000E+00,5.372066E+04,0.000000E+00,4.394189E+00,0.000000E+00,4.827021E+04,0.000000E+00,3.948359E+00
04:45:00,0.000000E+00,5.370023E+04,0.000000E+00,4.392518E+00,0.000000E+00,4.824954E+04,0.000000E+00,3.946668E+00
05:00:00,0.000000E+00,5.368028E+04,0.000000E+00,4.390886E+00,0.000000E+00,4.822924E+04,0.000000E+00,3.945007E+00
05:15:00,0.000000E+00,5.366107E+04,0.000000E+00,4.389315E+00,0.000000E+00,4.820955E+04,0.000000E+00,3.943397E+00
05:30:00,0.000000E+00,5.364282E+04,0.000000E+00,4.387822E+00,0.000000E+00,4.819065E+04,0.000000E+00,3.941851E+00
05:45:00,0.000000E+00,5.362695E+04,0.000000E+00,4.386524E+00,0.000000E+00,4.817415E+04,0.000000E+00,3.940502E+00
06:00:00,0.000000E+00,5.361476E+04,0.000000E+00,4.385527E+00,0.000000E+00,4.816192E+04,0.000000E+00,3.939501E+00
06:15:00,0.000000E+00,5.361769E+04,0.000000E+00,4.385767E+00,0.000000E+00,4.816956E+04,0.000000E+00,3.940126E+00
06:30:00,0.000000E+00,5.363034E+04,0.000000E+00,4.386802E+00,0.000000E+00,4.818662E+04,0.000000E+00,3.941522E+00
06:45:00,0.000000E+00,5.365355E+04,0.000000E+00,4.388703E+00,0.000000E+00,4.821335E+04,0.000000E+00,3.943713E+00
07:00:00,0.000000E+00,5.368842E+04,0.000000E+00,4.391563E+00,0.000000E+00,4.824995E+04,0.000000E+00,3.946718E+00
07:15:00,0.000000E+00,5.376052E+04,0.000000E+00,4.397470E+00,0.000000E+00,4.833698E+04,0.000000E+00,3.953851E+00
07:30:00,0.000000E+00,5.384465E+04,0.000000E+00,4.404362E+00,0.000000E+00,4.843519E+04,0.000000E+00,3.961902E+00
07:45:00,0.000000E+00,5.393940E+04,0.000000E+00,4.412133E+00,0.000000E+00,4.854282E+04,0.000000E+00,3.970739E+00
08:00:00,0.000000E+00,5.404340E+04,0.000000E+00,4.420674E+00,0.000000E+00,4.865843E+04,0.000000E+00,3.980247E+00
08:15:00,0.000000E+00,5.416322E+04,0.000000E+00,4.430515E+00,0.000000E+00,4.879336E+04,0.000000E+00,3.991348E+00
08:30:00,0.000000E+00,5.428845E+04,0.000000E+00,4.440803E+00,0.000000E+00,4.893370E+04,0.000000E+00,4.002898E+00
08:45:00,0.000000E+00,5.441865E+04,0.000000E+00,4.451503E+00,0.000000E+00,4.908098E+04,0.000000E+00,4.015023E+00
09:00:00,0.000000E+00,5.455624E+04,0.000000E+00,4.462813E+00,0.000000E+00,4.923456E+04,0.000000E+00,4.027670E+00
09:15:00,0.000000E+00,5.467843E+04,0.000000E+00,4.472865E+00,0.000000E+00,4.934749E+04,0.000000E+00,4.036994E+00
09:30:00,0.000000E+00,5.481159E+04,0.000000E+00,4.483814E+00,0.000000E+00,4.946803E+04,0.000000E+00,4.046942E+00
09:45:00,0.000000E+00,5.495240E+04,0.000000E+00,4.495372E+00,0.000000E+00,4.959128E+04,0.000000E+00,4.057084E+00
10:00:00,0.000000E+00,5.509627E+04,0.000000E+00,4.507159E+00,0.000000E+00,4.971578E+04,0.000000E+00,4.067300E+00
10:15:00,0.000000E+00,5.522199E+04,0.000000E+00,4.517452E+00,0.000000E+00,4.982039E+04,0.000000E+00,4.075871E+00
10:30:00,0.000000E+00,5.534184E+04,0.000000E+00,4.527258E+00,0.000000E+00,4.991798E+04,0.000000E+00,4.083859E+00
10:45:00,0.000000E+00,5.545739E+04,0.000000E+00,4.536711E+00,0.000000E+00,5.001042E+04,0.000000E+00,4.091423E+00
11:00:00,0.000000E+00,5.556847E+04,0.000000E+00,4.545796E+00,0.000000E+00,5.009788E+04,0.000000E+00,4.098578E+00
11:15:00,0.000000E+00,5.567418E+04,0.000000E+00,4.554442E+00,0.000000E+00,5.017986E+04,0.000000E+00,4.105281E+00
11:30:00,0.000000E+00,5.577405E+04,0.000000E+00,4.562609E+00,0.000000E+00,5.025614E+04,0.000000E+00,4.111519E+00
11:45:00,0.000000E+00,5.586772E+04,0.000000E+00,4.570269E+00,0.000000E+00,5.032665E+04,0.000000E+00,4.117284E+00
12:00:00,0.000000E+00,5.595480E+04,0.000000E+00,4.577391E+00,0.000000E+00,5.039124E+04,0.000000E+00,4.122565E+00
12:15:00,0.000000E+00,5.598883E+04,0.000000E+00,4.580172E+00,0.000000E+00,5.037852E+04,0.000000E+00,4.121522E+00
12:30:00,0.000000E+00,5.601319E+04,0.000000E+00,4.582163E+00,0.000000E+00,5.035589E+04,0.000000E+00,4.119668E+00
