episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-48542.05385745759,-1.38533258725621,928755708.158363,26505.585278492093,-4208.5368990788975,-0.12010664666321054,-92875.5708158363,-2.6505585278492094,14.36929223744292,35040,31536000
1,-47025.36103973508,-1.3420479748782843,925016052.6285461,26398.85994944481,-1549.116816615503,-0.044209954812086276,-92501.60526285462,-2.639885994944481,6.9549086757990874,35040,31536000
2,-47131.54929728885,-1.345078461680618,919012879.4032489,26227.536512649796,-2361.8106542528094,-0.06740327209625598,-91901.2879403249,-2.62275365126498,9.389269406392694,35040,31536000
3,-46911.07624706758,-1.3387864225761297,918897958.4156858,26224.25680410062,-1932.3566525666058,-0.055147164742197656,-91889.79584156857,-2.622425680410062,8.047945205479452,35040,31536000
4,-46707.19772606167,-1.33296797163418,916586297.1903461,26158.28473716741,-1755.7657330887284,-0.05010746955161896,-91658.62971903464,-2.615828473716742,9.238013698630137,35040,31536000
5,-46670.96620004021,-1.3319339668961248,916743752.2034605,26162.778316308802,-1667.5571797343764,-0.04759010216136919,-91674.37522034605,-2.6162778316308803,9.029680365296803,35040,31536000
6,-46279.37125313497,-1.3207583120186919,913233486.4857227,26062.599500163316,-1235.3938576976764,-0.035256674021052405,-91323.34864857228,-2.6062599500163324,7.9452054794520555,35040,31536000
7,-46371.7138078697,-1.323393658900391,915250000.0603373,26120.14840354844,-1218.4276097056754,-0.03477247744593823,-91525.00000603372,-2.6120148403548438,7.4771689497716896,35040,31536000
8,-46177.688379261475,-1.3178564035177363,912644984.6194941,26045.80435557917,-1090.8782965735322,-0.031132371477555144,-91264.4984619494,-2.6045804355579167,7.505707762557077,35040,31536000
9,-45860.90054287725,-1.3088156547624785,908263219.2496399,25920.753974019404,-895.4791607905206,-0.02555591212301714,-90826.32192496398,-2.59207539740194,6.17865296803653,35040,31536000
10,-45891.33238583432,-1.3096841434313449,907245579.4236978,25891.711741543888,-1058.1068292988573,-0.030197112708300722,-90724.55794236978,-2.5891711741543886,7.246004566210046,35040,31536000
11,-45582.18409012248,-1.3008614180971028,901366864.2597466,25723.94019006126,-1027.6817542703297,-0.029328817188080187,-90136.68642597465,-2.572394019006126,7.226027397260274,35040,31536000
12,-45809.0571682437,-1.307336106399649,905950196.7624156,25854.743058288117,-1023.0946602458496,-0.029197906970486576,-90595.01967624154,-2.585474305828811,7.291666666666667,35040,31536000
13,-45286.825095971966,-1.2924322230585608,895497508.3190374,25556.435739698558,-1023.8993600401864,-0.029220872147265594,-89549.75083190373,-2.555643573969855,7.871004566210045,35040,31536000
14,-45332.33822257964,-1.2937311136580947,895555541.2205942,25558.09192981148,-1109.1223230998426,-0.03165303433504117,-89555.55412205942,-2.555809192981148,8.57876712328767,35040,31536000
15,-45602.56039674397,-1.301442933697031,897712633.0484861,25619.652769648575,-1433.8574886393276,-0.040920590429204554,-89771.26330484863,-2.561965276964858,10.148401826484019,35040,31536000
16,-45320.21887616441,-1.2933852418996692,892106904.0139425,25459.67191820612,-1429.747350934574,-0.040803291978726425,-89210.69040139425,-2.5459671918206124,10.139840182648403,35040,31536000
17,-45432.10555723262,-1.2965783549438534,893607552.579368,25502.49864667146,-1503.455856528427,-0.04290684522056013,-89360.75525793682,-2.5502498646671468,10.74200913242009,35040,31536000
18,-45569.41152852859,-1.3004969043529848,891632991.3447374,25446.147013263053,-1975.5239225834316,-0.056379107379664145,-89163.29913447374,-2.544614701326305,12.168949771689498,35040,31536000
19,-45398.02208068101,-1.2956426290899001,891535879.3248007,25444.101695961665,-1642.4562288819332,-0.04687508858363347,-89153.58793248008,-2.5444101695961665,11.178972002625645,35039,31535100
