episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-33773.830837356334,-0.9638650353126808,640534333.9089681,18280.089438041327,-3494.2282838158576,-0.09972112682122881,-64053.43339089681,-1.8280089438041327,13.795662100456621,35040,31536000
1,-32642.201293598097,-0.9315696716209503,648756805.093654,18514.749003814326,-408.72207783078346,-0.011664442860467564,-64875.680509365404,-1.8514749003814328,3.07648401826484,35040,31536000
2,-33003.62697315554,-0.9418843314256717,649276434.7477237,18529.57861722956,-1079.6104715387014,-0.030810801128387598,-64927.64347477237,-1.8529578617229556,5.690639269406392,35040,31536000
3,-32445.43758640774,-0.9259542690184858,642981470.1599032,18349.9278013671,-592.7281568251558,-0.016915757900261296,-64298.147015990326,-1.8349927801367103,4.06392694063927,35040,31536000
4,-32697.050174616845,-0.9331349935678324,645903683.8135074,18433.32430974622,-803.7319678829251,-0.022937556161042382,-64590.36838135077,-1.8433324309746224,4.7631278538812785,35040,31536000
5,-32612.764404309626,-0.9307295777485624,644096636.4183346,18381.753322441054,-815.8651667857881,-0.023283823253019066,-64409.66364183346,-1.8381753322441057,5.468036529680365,35040,31536000
6,-32892.290529820675,-0.9387069215131472,648173422.3166856,18498.099951960205,-967.2388279727994,-0.027603847830273955,-64817.342231668554,-1.8498099951960203,5.28824200913242,35040,31536000
7,-32912.0048514151,-0.9392695448463213,650594579.750413,18567.1969106853,-764.5517277888933,-0.02181939862411225,-65059.45797504131,-1.8567196910685306,4.811643835616438,35040,31536000
8,-32846.59896575577,-0.9374029385204273,648031497.9488345,18494.04959899642,-890.0481366281032,-0.02540091714121299,-64803.14979488345,-1.8494049598996418,5.585045662100456,35040,31536000
9,-32854.62732698544,-0.9376320584185344,645710118.3185089,18427.80018032274,-1138.2428221199937,-0.03248409880479434,-64571.01183185089,-1.8427800180322742,6.087328767123288,35040,31536000
10,-32867.2988392235,-0.937993688334004,648296734.8279374,18501.619144632914,-904.9241956532517,-0.025825462204716088,-64829.67348279375,-1.850161914463292,6.067351598173516,35040,31536000
11,-33023.34063239815,-0.9424469358561115,648531189.3224239,18508.31019755776,-1193.5623325538932,-0.034062851956446726,-64853.118932242396,-1.8508310197557762,7.174657534246576,35040,31536000
12,-32930.528744756506,-0.9397981947704482,648833091.3217543,18516.926122196186,-977.7483573375742,-0.027903777321277804,-64883.30913217544,-1.8516926122196187,6.204337899543379,35040,31536000
13,-32713.93226852221,-0.9336167884852229,645747813.5447971,18428.875957328684,-853.083182564713,-0.024345981237577426,-64574.78135447971,-1.8428875957328685,5.927511415525114,35040,31536000
14,-32777.48161408852,-0.9354304113609738,646075135.9313824,18438.21734963991,-947.4496350388151,-0.02703908775795705,-64607.51359313823,-1.8438217349639907,6.384132420091324,35040,31536000
15,-32922.3755569054,-0.9395655124687613,645992795.924544,18435.8674636,-1245.4715213563923,-0.03554427857752261,-64599.2795924544,-1.84358674636,7.656963470319635,35040,31536000
16,-32648.615790784024,-0.9317527337552518,642768028.1779485,18343.83642060355,-1020.4287637732003,-0.029121825450148412,-64276.80281779484,-1.8343836420603552,6.529680365296804,35040,31536000
17,-32767.352771354275,-0.9351413462144484,644727477.3294237,18399.75677309999,-1061.9578097661793,-0.03030701511889781,-64472.74773294237,-1.8399756773099991,6.672374429223744,35040,31536000
18,-32743.923671158907,-0.9344727075102428,643221815.0526234,18356.786959264366,-1165.6658370554812,-0.03326671909404912,-64322.18150526234,-1.8356786959264366,6.909246575342467,35040,31536000
19,-32932.25529228744,-0.9398742912836393,648671680.5963395,18512.847986424826,-997.3425249409185,-0.028463783924795753,-64867.16805963395,-1.8512847986424827,6.604069750849054,35039,31535100
