episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-14657.64952634111,-0.41831191570608195,213149496.66214085,6083.033580540549,-8000.349386468132,-0.2283204733581088,-21314.949666214085,-0.6083033580540549,46.86073059360731,35040,31536000
1,-14096.909999859694,-0.4023090753384616,235381152.20986107,6717.498636126172,-4655.704778733281,-0.13286828706430598,-23538.115220986103,-0.6717498636126171,25.744863013698634,35040,31536000
2,-34085.01436866832,-0.9727458438546895,226558287.80674413,6465.704560694752,-45514.19995666223,-1.298921231639904,-22655.828780674416,-0.6465704560694754,86.81792237442923,35040,31536000
3,-19212.62146977701,-0.5483054072424945,236904645.42405272,6760.977323745797,-14734.778397148737,-0.42051308211040916,-23690.464542405276,-0.6760977323745798,72.18036529680364,35040,31536000
4,-13103.670884367539,-0.3739632101703065,242174502.8333489,6911.372797755391,-1989.8914854001848,-0.05678914056507377,-24217.450283334892,-0.6911372797755392,18.43607305936073,35040,31536000
5,-11630.24451952287,-0.3319133709909495,231134064.36352044,6596.29179119636,-147.0826026936959,-0.00419756286226301,-23113.406436352045,-0.659629179119636,3.3704337899543377,35040,31536000
6,-11937.800674027825,-0.3406906585053603,231660413.6982522,6611.313176319983,-709.5599782304325,-0.020249999378722388,-23166.04136982522,-0.6611313176319983,15.570776255707763,35040,31536000
7,-12085.160041059737,-0.3448961198932573,233156899.864218,6654.021114846404,-854.6300956976705,-0.024390128301874158,-23315.689986421803,-0.6654021114846405,21.649543378995435,35040,31536000
8,-12256.043062721163,-0.3497729184566542,226155297.7343421,6454.203702464101,-1896.5563520081146,-0.05412546666689825,-22615.529773434213,-0.6454203702464102,27.391552511415522,35040,31536000
9,-11893.918621676212,-0.339438316828659,229200436.8963085,6541.108358912914,-867.7935537215728,-0.024765797766026623,-22920.04368963085,-0.6541108358912914,17.488584474885847,35040,31536000
10,-12211.138506119605,-0.34849139572259147,226244722.95922735,6456.755792215393,-1797.8047163164765,-0.05130721222364373,-22624.47229592274,-0.6456755792215394,27.828196347031962,35040,31536000
11,-12609.858736729811,-0.35987039773772295,222191089.86715078,6341.069916299965,-3000.6084867445475,-0.08563380384544941,-22219.108986715077,-0.6341069916299965,33.3675799086758,35040,31536000
12,-11845.071612041704,-0.3380442811655737,223803468.7131382,6387.08529432472,-1309.7963527695924,-0.037380032898675586,-22380.34687131382,-0.638708529432472,24.246575342465754,35040,31536000
13,-12310.205824481378,-0.35131865937446854,221768715.30385777,6329.015847712836,-2443.540118576985,-0.06973573397765369,-22176.87153038577,-0.6329015847712834,42.18892694063927,35040,31536000
14,-11927.585025991677,-0.34039911603857526,224586831.16960552,6409.441528812943,-1396.4869350227987,-0.039854079195856124,-22458.683116960554,-0.6409441528812944,27.636986301369866,35040,31536000
15,-11997.938095332573,-0.3424069091133725,223743372.5479468,6385.370221117203,-1621.5389358704658,-0.04627679611502471,-22374.337254794682,-0.6385370221117204,33.96118721461187,35040,31536000
16,-11611.397507563914,-0.33137549964508883,220286347.91867748,6286.71084242801,-1194.160223260083,-0.0340799150473768,-22028.634791867746,-0.6286710842428009,28.935502283105023,35040,31536000
17,-12161.330417661165,-0.347069932010878,222781386.5043545,6357.916281516967,-2044.5221848868807,-0.058348235870059384,-22278.13865043545,-0.6357916281516965,38.8156392694064,35040,31536000
18,-11427.063236947446,-0.3261148184060344,219659085.7109886,6268.809523715428,-888.2179027960325,-0.025348684440526043,-21965.908571098855,-0.6268809523715426,26.118721461187217,35040,31536000
19,-11372.953640737232,-0.3245705947698982,218191760.07421055,6226.933792072219,-926.7312740534139,-0.0264478103325746,-21819.17600742105,-0.6226933792072218,29.985730593607308,35040,31536000
20,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,0,0
