Time,EAST ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],EAST ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],WEST ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
00:15:00,9.565449E-02,2.936443E+01,5.754005E+00,9.768335E+04,4.950759E+04,9.565449E-02,2.835518E+03,3.461290E+00,0.000000E+00,0.000000E+00,1.503142E-01,0.000000E+00,5.173077E+00,8.782117E+04,5.103959E+04,1.503142E-01,2.446921E+03,3.092235E+00,0.000000E+00,0.000000E+00
00:30:00,9.565449E-02,4.854022E+01,5.751384E+00,9.648587E+04,4.831575E+04,9.565449E-02,2.835518E+03,3.024875E+00,0.000000E+00,0.000000E+00,1.503142E-01,0.000000E+00,5.170730E+00,8.674476E+04,4.996520E+04,1.503142E-01,2.446921E+03,2.700998E+00,0.000000E+00,0.000000E+00
00:45:00,9.565449E-02,6.771600E+01,5.748756E+00,9.528933E+04,4.712483E+04,9.565449E-02,2.835518E+03,2.588461E+00,0.000000E+00,0.000000E+00,1.503142E-01,0.000000E+00,5.168327E+00,8.566835E+04,4.889115E+04,1.503142E-01,2.446921E+03,2.309763E+00,0.000000E+00,0.000000E+00
01:00:00,9.565449E-02,8.689179E+01,5.746128E+00,9.409385E+04,4.593508E+04,9.565449E-02,2.835518E+03,2.152049E+00,0.000000E+00,0.000000E+00,1.503142E-01,0.000000E+00,5.165879E+00,8.459217E+04,4.781775E+04,1.503142E-01,2.446921E+03,1.918529E+00,0.000000E+00,0.000000E+00
01:15:00,9.565449E-02,9.967565E+01,5.743519E+00,9.328353E+04,4.513577E+04,9.565449E-02,2.835518E+03,2.152022E+00,0.000000E+00,0.000000E+00,1.503142E-01,0.000000E+00,5.163420E+00,8.386183E+04,4.709516E+04,1.503142E-01,2.446921E+03,1.918502E+00,0.000000E+00,0.000000E+00
01:30:00,9.565449E-02,1.124595E+02,5.740937E+00,9.247435E+04,4.433729E+04,9.565449E-02,2.835518E+03,2.151996E+00,0.000000E+00,0.000000E+00,1.503142E-01,0.000000E+00,5.160963E+00,8.313219E+04,4.637318E+04,1.503142E-01,2.446921E+03,1.918476E+00,0.000000E+00,0.000000E+00
01:45:00,9.565449E-02,1.252434E+02,5.738391E+00,9.166642E+04,4.353988E+04,9.565449E-02,2.835518E+03,2.151972E+00,0.000000E+00,0.000000E+00,1.503142E-01,0.000000E+00,5.158519E+00,8.240341E+04,4.565206E+04,1.503142E-01,2.446921E+03,1.918451E+00,0.000000E+00,0.000000E+00
02:00:00,9.565449E-02,1.380272E+02,5.735886E+00,9.085982E+04,4.274346E+04,9.565449E-02,2.835518E+03,2.151948E+00,0.000000E+00,0.000000E+00,1.503142E-01,0.000000E+00,5.156097E+00,8.167562E+04,4.493179E+04,1.503142E-01,2.446921E+03,1.918427E+00,0.000000E+00,0.000000E+00
02:15:00,9.565449E-02,1.476151E+02,5.733414E+00,9.024598E+04,4.214224E+04,9.565449E-02,2.835518E+03,2.151925E+00,0.000000E+00,0.000000E+00,1.503142E-01,0.000000E+00,5.153692E+00,8.112095E+04,4.438696E+04,1.503142E-01,2.446921E+03,1.918405E+00,0.000000E+00,0.000000E+00
02:30:00,9.565449E-02,1.572030E+02,5.730974E+00,8.963312E+04,4.154165E+04,9.565449E-02,2.835518E+03,2.151904E+00,0.000000E+00,0.000000E+00,1.503142E-01,0.000000E+00,5.151305E+00,8.056703E+04,4.384269E+04,1.503142E-01,2.446921E+03,1.918383E+00,0.000000E+00,0.000000E+00
