episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-49531.28253842802,-1.4135639993843614,847002533.4121195,24172.44672979793,-14362.311735644107,-0.40988332578893,-84700.25334121192,-2.4172446729797925,55.94178082191781,35040,31536000
1,-81822.99969577923,-2.335131269856713,761109837.4812865,21721.17116099562,-87535.0156434298,-2.498145423613864,-76110.98374812865,-2.172117116099562,84.44634703196347,35040,31536000
2,-58563.168197018524,-1.6713232932939077,891517276.1694849,25442.844639540093,-27974.608777088546,-0.7983621226338056,-89151.7276169485,-2.5442844639540096,45.52511415525114,35040,31536000
3,-45174.76373077982,-1.289234124736867,891655981.2859628,25446.803118891632,-1183.9293329633604,-0.033787937584570785,-89165.59812859629,-2.5446803118891634,7.480022831050229,35040,31536000
4,-44714.282511206606,-1.2760925374202798,857709060.6503129,24477.99830623039,-3657.65895738193,-0.10438524421752084,-85770.90606503127,-2.4477998306230386,33.51312785388128,35040,31536000
5,-44030.09526077453,-1.2565666455700493,860926829.0339947,24569.829595719028,-1967.5076181495929,-0.05615033156819614,-86092.68290339947,-2.456982959571903,22.26027397260274,35040,31536000
6,-43475.819708768846,-1.2407482793598414,849787657.8907906,24251.930875878727,-1972.8736284586232,-0.05630347113181002,-84978.76578907906,-2.4251930875878727,20.587899543378995,35040,31536000
7,-43794.36757350339,-1.2498392572346857,864863119.6552217,24682.166656827103,-1102.423181484613,-0.03146184878666133,-86486.31196552217,-2.4682166656827103,17.591324200913242,35040,31536000
8,-43601.378059426745,-1.2443315656229095,844434312.2151436,24099.15274586597,-2759.324897339118,-0.0787478566592214,-84443.43122151436,-2.409915274586597,16.75513698630137,35040,31536000
9,-46413.54596579871,-1.3245874990239357,839885560.6316855,23969.336776018423,-8838.535868428862,-0.25224132044602915,-83988.55606316855,-2.3969336776018424,53.02511415525114,35040,31536000
10,-43354.87827481155,-1.2372967544181377,850910737.4931383,24283.982234393217,-1618.6828003092764,-0.046195285396954236,-85091.07374931383,-2.4283982234393218,28.48458904109589,35040,31536000
11,-43188.34324354749,-1.232544042338684,839149815.0602692,23948.339470898096,-2461.704981068049,-0.07025413758755848,-83914.98150602693,-2.39483394708981,27.77682648401826,35040,31536000
12,-42897.072094483476,-1.2242315095457612,828376657.6707953,23640.886349052376,-2956.4784218874192,-0.08437438418628479,-82837.66576707952,-2.3640886349052375,34.66038812785388,35040,31536000
13,-43550.72777120915,-1.2428860665299415,834037720.4730479,23802.446360532187,-3697.683495113515,-0.10552749700666425,-83403.7720473048,-2.3802446360532192,33.74429223744293,35040,31536000
14,-43319.61018773963,-1.2362902450838935,844256114.4767685,24094.067193971703,-2213.6089278023837,-0.06317377077061598,-84425.61144767686,-2.4094067193971704,25.419520547945208,35040,31536000
15,-42881.54805068968,-1.223788471766258,852484446.539038,24328.894022232816,-514.6514474755832,-0.01468754130923468,-85248.44465390379,-2.4328894022232816,11.472602739726028,35040,31536000
16,-43350.19654055332,-1.2371631432806312,833466227.9247214,23786.136641687255,-3353.770288634513,-0.09571262239253747,-83346.62279247213,-2.378613664168725,36.775114155251146,35040,31536000
17,-42144.6590655301,-1.202758534975174,826593500.4596831,23589.99715923753,-1629.9680850918826,-0.04651735402659482,-82659.3500459683,-2.358999715923753,23.9412100456621,35040,31536000
18,-42198.04211018259,-1.2042820236924257,828036384.9284533,23631.175368962708,-1592.4457275198547,-0.04544651048858033,-82803.6384928453,-2.36311753689627,23.892694063926943,35040,31536000
19,-42691.74278181113,-1.2183716547320529,843496318.7927212,24072.38352718953,-1033.8536843501379,-0.029504956745152338,-84349.63187927211,-2.407238352718953,15.142694063926939,35040,31536000
20,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,0,0
