Time,EAST ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],EAST ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],WEST ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
00:15:00,1.053146E-01,4.316652E+02,5.689659E+00,7.501673E+04,1.502941E+05,1.053146E-01,4.307128E+03,3.265802E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.113124E+00,6.741527E+04,1.415194E+05,1.654943E-01,4.556576E+03,2.912198E+00,0.000000E+00,0.000000E+00
00:30:00,1.053146E-01,4.434120E+02,5.687374E+00,7.435223E+04,1.495800E+05,1.053146E-01,4.307128E+03,2.829386E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.111217E+00,6.682001E+04,1.408791E+05,1.654943E-01,4.556576E+03,2.520960E+00,0.000000E+00,0.000000E+00
00:45:00,1.053146E-01,4.551587E+02,5.685086E+00,7.368822E+04,1.488663E+05,1.053146E-01,4.307128E+03,2.392972E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.109234E+00,6.622421E+04,1.402371E+05,1.654943E-01,4.556576E+03,2.129725E+00,0.000000E+00,0.000000E+00
01:00:00,1.053146E-01,4.669054E+02,5.682804E+00,7.302478E+04,1.481534E+05,1.053146E-01,4.307128E+03,1.956560E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.107164E+00,6.562772E+04,1.395933E+05,1.654943E-01,4.556576E+03,1.738491E+00,0.000000E+00,0.000000E+00
01:15:00,1.053146E-01,4.747365E+02,5.680541E+00,7.257329E+04,1.476590E+05,1.053146E-01,4.307128E+03,1.956534E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.105043E+00,6.522086E+04,1.391440E+05,1.654943E-01,4.556576E+03,1.738464E+00,0.000000E+00,0.000000E+00
01:30:00,1.053146E-01,4.825677E+02,5.678304E+00,7.212249E+04,1.471657E+05,1.053146E-01,4.307128E+03,1.956508E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.102919E+00,6.481428E+04,1.386951E+05,1.654943E-01,4.556576E+03,1.738439E+00,0.000000E+00,0.000000E+00
01:45:00,1.053146E-01,4.903988E+02,5.676100E+00,7.167241E+04,1.466736E+05,1.053146E-01,4.307128E+03,1.956484E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.100802E+00,6.440810E+04,1.382467E+05,1.654943E-01,4.556576E+03,1.738415E+00,0.000000E+00,0.000000E+00
02:00:00,1.053146E-01,4.982299E+02,5.673939E+00,7.122322E+04,1.461829E+05,1.053146E-01,4.307128E+03,1.956462E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.098708E+00,6.400252E+04,1.377992E+05,1.654943E-01,4.556576E+03,1.738391E+00,0.000000E+00,0.000000E+00
02:15:00,1.053146E-01,5.041033E+02,5.671817E+00,7.088026E+04,1.458023E+05,1.053146E-01,4.307128E+03,1.956440E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.096636E+00,6.369228E+04,1.374503E+05,1.654943E-01,4.556576E+03,1.738369E+00,0.000000E+00,0.000000E+00
02:30:00,1.053146E-01,5.099767E+02,5.669727E+00,7.053795E+04,1.454227E+05,1.053146E-01,4.307128E+03,1.956418E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.094585E+00,6.338252E+04,1.371021E+05,1.654943E-01,4.556576E+03,1.738348E+00,0.000000E+00,0.000000E+00
02:45:00,1.053146E-01,5.158500E+02,5.667671E+00,7.019629E+04,1.450442E+05,1.053146E-01,4.307128E+03,1.956398E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.092556E+00,6.307327E+04,1.367548E+05,1.654943E-01,4.556576E+03,1.738328E+00,0.000000E+00,0.000000E+00
03:00:00,1.053146E-01,5.217234E+02,5.665640E+00,6.985515E+04,1.446666E+05,1.053146E-01,4.307128E+03,1.956379E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.090544E+00,6.276444E+04,1.364082E+05,1.654943E-01,4.556576E+03,1.738308E+00,0.000000E+00,0.000000E+00
03:15:00,1.053146E-01,5.275967E+02,5.663627E+00,6.951448E+04,1.442897E+05,1.053146E-01,4.307128E+03,1.956360E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.088543E+00,6.245599E+04,1.360621E+05,1.654943E-01,4.556576E+03,1.738290E+00,0.000000E+00,0.000000E+00
03:30:00,1.053146E-01,5.334701E+02,5.661632E+00,6.917425E+04,1.439135E+05,1.053146E-01,4.307128E+03,1.956342E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.086555E+00,6.214792E+04,1.357166E+05,1.654943E-01,4.556576E+03,1.738272E+00,0.000000E+00,0.000000E+00
03:45:00,1.053146E-01,5.393434E+02,5.659656E+00,6.883446E+04,1.435379E+05,1.053146E-01,4.307128E+03,1.956325E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.084581E+00,6.184023E+04,1.353717E+05,1.654943E-01,4.556576E+03,1.738254E+00,0.000000E+00,0.000000E+00
04:00:00,1.053146E-01,5.452168E+02,5.657699E+00,6.849514E+04,1.431631E+05,1.053146E-01,4.307128E+03,1.956308E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.082622E+00,6.153295E+04,1.350274E+05,1.654943E-01,4.556576E+03,1.738238E+00,0.000000E+00,0.000000E+00
04:15:00,1.053146E-01,5.491324E+02,5.655772E+00,6.826153E+04,1.428976E+05,1.053146E-01,4.307128E+03,1.956292E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.080688E+00,6.132063E+04,1.347813E+05,1.654943E-01,4.556576E+03,1.738222E+00,0.000000E+00,0.000000E+00
04:30:00,1.053146E-01,5.530479E+02,5.653882E+00,6.802851E+04,1.426332E+05,1.053146E-01,4.307128E+03,1.956277E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.078783E+00,6.110881E+04,1.345362E+05,1.654943E-01,4.556576E+03,1.738206E+00,0.000000E+00,0.000000E+00
04:45:00,1.053146E-01,5.569635E+02,5.652037E+00,6.779617E+04,1.423702E+05,1.053146E-01,4.307128E+03,1.956262E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.076910E+00,6.089752E+04,1.342921E+05,1.654943E-01,4.556576E+03,1.738191E+00,0.000000E+00,0.000000E+00
05:00:00,1.053146E-01,5.608791E+02,5.650592E+00,6.756874E+04,1.421172E+05,1.053146E-01,4.307128E+03,1.956248E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.075387E+00,6.069055E+04,1.340573E+05,1.654943E-01,4.556576E+03,1.738177E+00,0.000000E+00,0.000000E+00
05:15:00,1.053146E-01,5.569635E+02,5.649783E+00,6.776912E+04,1.423134E+05,1.053146E-01,4.307128E+03,1.956234E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.074425E+00,6.086771E+04,1.342264E+05,1.654943E-01,4.556576E+03,1.738163E+00,0.000000E+00,0.000000E+00
05:30:00,1.053146E-01,5.530479E+02,5.649817E+00,6.797960E+04,1.425307E+05,1.053146E-01,4.307128E+03,1.956221E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.074207E+00,6.105375E+04,1.344150E+05,1.654943E-01,4.556576E+03,1.738150E+00,0.000000E+00,0.000000E+00
05:45:00,1.053146E-01,5.491324E+02,5.650883E+00,6.820252E+04,1.427741E+05,1.053146E-01,4.307128E+03,1.956208E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.074901E+00,6.125079E+04,1.346278E+05,1.654943E-01,4.556576E+03,1.738137E+00,0.000000E+00,0.000000E+00
06:00:00,1.053146E-01,5.452168E+02,5.652805E+00,6.843589E+04,1.430393E+05,1.053146E-01,4.307128E+03,1.956196E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.076338E+00,6.145686E+04,1.348605E+05,1.654943E-01,4.556576E+03,1.738125E+00,0.000000E+00,0.000000E+00
06:15:00,1.053146E-01,5.315123E+02,5.656416E+00,6.921567E+04,1.438892E+05,1.053146E-01,4.307128E+03,2.319838E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.079851E+00,6.216044E+04,1.356351E+05,1.654943E-01,4.556576E+03,2.064118E+00,0.000000E+00,0.000000E+00
06:30:00,1.053146E-01,5.178078E+02,5.660683E+00,7.000451E+04,1.447569E+05,1.053146E-01,4.307128E+03,2.683481E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.083850E+00,6.287093E+04,1.364236E+05,1.654943E-01,4.556576E+03,2.390112E+00,0.000000E+00,0.000000E+00
06:45:00,1.053146E-01,5.041033E+02,5.665292E+00,7.079872E+04,1.456346E+05,1.053146E-01,4.307128E+03,3.047124E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.087921E+00,6.358336E+04,1.372152E+05,1.654943E-01,4.556576E+03,2.716106E+00,0.000000E+00,0.000000E+00
07:00:00,1.053146E-01,4.903988E+02,5.669879E+00,7.159386E+04,1.465129E+05,1.053146E-01,4.307128E+03,3.410767E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.092322E+00,6.430102E+04,1.380169E+05,1.654943E-01,4.556576E+03,3.042101E+00,0.000000E+00,0.000000E+00
07:15:00,1.053146E-01,4.571164E+02,5.677474E+00,7.348400E+04,1.485582E+05,1.053146E-01,4.307128E+03,3.410757E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.101321E+00,6.602682E+04,1.399222E+05,1.654943E-01,4.556576E+03,3.042090E+00,0.000000E+00,0.000000E+00
07:30:00,1.053146E-01,4.238341E+02,5.685590E+00,7.538586E+04,1.506224E+05,1.053146E-01,4.307128E+03,3.410747E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.111009E+00,6.776742E+04,1.418526E+05,1.654943E-01,4.556576E+03,3.042081E+00,0.000000E+00,0.000000E+00
07:45:00,1.053146E-01,3.905517E+02,5.694410E+00,7.730240E+04,1.527107E+05,1.053146E-01,4.307128E+03,3.410737E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.121617E+00,6.952666E+04,1.438151E+05,1.654943E-01,4.556576E+03,3.042071E+00,0.000000E+00,0.000000E+00
08:00:00,1.053146E-01,3.572694E+02,5.704221E+00,7.923828E+04,1.548317E+05,1.053146E-01,4.307128E+03,3.410728E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.132787E+00,7.130040E+04,1.458005E+05,1.654943E-01,4.556576E+03,3.042062E+00,0.000000E+00,0.000000E+00
08:15:00,1.053146E-01,3.200715E+02,5.715537E+00,8.141425E+04,1.572195E+05,1.053146E-01,4.307128E+03,3.774374E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.145865E+00,7.329962E+04,1.480452E+05,1.654943E-01,4.556576E+03,3.368058E+00,0.000000E+00,0.000000E+00
08:30:00,1.053146E-01,2.828735E+02,5.727356E+00,8.360555E+04,1.596295E+05,1.053146E-01,4.307128E+03,4.138019E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.159317E+00,7.531354E+04,1.503104E+05,1.654943E-01,4.556576E+03,3.694055E+00,0.000000E+00,0.000000E+00
08:45:00,1.053146E-01,2.456756E+02,5.739565E+00,8.581103E+04,1.620591E+05,1.053146E-01,4.307128E+03,4.501665E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.173018E+00,7.734070E+04,1.525926E+05,1.654943E-01,4.556576E+03,4.020052E+00,0.000000E+00,0.000000E+00
09:00:00,1.053146E-01,2.084777E+02,5.752056E+00,8.802945E+04,1.645057E+05,1.053146E-01,4.307128E+03,4.865311E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.186877E+00,7.937994E+04,1.548896E+05,1.654943E-01,4.556576E+03,4.346049E+00,0.000000E+00,0.000000E+00
09:15:00,1.053146E-01,1.751953E+02,5.762227E+00,9.000612E+04,1.666734E+05,1.053146E-01,4.307128E+03,4.868079E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.195694E+00,8.115687E+04,1.568452E+05,1.654943E-01,4.556576E+03,4.348796E+00,0.000000E+00,0.000000E+00
09:30:00,1.053146E-01,1.419130E+02,5.772744E+00,9.199475E+04,1.688578E+05,1.053146E-01,4.307128E+03,4.871608E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.204621E+00,8.294111E+04,1.588099E+05,1.654943E-01,4.556576E+03,4.352299E+00,0.000000E+00,0.000000E+00
09:45:00,1.053146E-01,1.086306E+02,5.783282E+00,9.399037E+04,1.710498E+05,1.053146E-01,4.307128E+03,4.875482E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.213733E+00,8.473402E+04,1.607861E+05,1.654943E-01,4.556576E+03,4.356146E+00,0.000000E+00,0.000000E+00
10:00:00,1.053146E-01,7.534828E+01,5.794223E+00,9.599932E+04,1.732606E+05,1.053146E-01,4.307128E+03,4.879605E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.223049E+00,8.653605E+04,1.627746E+05,1.654943E-01,4.556576E+03,4.360241E+00,0.000000E+00,0.000000E+00
10:15:00,1.053146E-01,4.598150E+01,5.803511E+00,9.777149E+04,1.752062E+05,1.053146E-01,4.307128E+03,4.881286E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.230604E+00,8.811976E+04,1.645133E+05,1.654943E-01,4.556576E+03,4.361915E+00,0.000000E+00,0.000000E+00
10:30:00,1.053146E-01,1.661472E+01,5.812601E+00,9.954547E+04,1.771512E+05,1.053146E-01,4.307128E+03,4.882370E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.237893E+00,8.970313E+04,1.662479E+05,1.654943E-01,4.556576E+03,4.362997E+00,0.000000E+00,0.000000E+00
10:45:00,1.053146E-01,0.000000E+00,5.821739E+00,1.013254E+05,1.791029E+05,1.053146E-01,4.307128E+03,4.883220E+00,0.000000E+00,0.000000E+00,1.654943E-01,0.000000E+00,5.244840E+00,9.128463E+04,1.679758E+05,1.654943E-01,4.556576E+03,4.363846E+00,0.000000E+00,0.000000E+00
