episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-33528.6882092314,-0.9568689557429052,575210535.1287805,16415.825774223187,-9536.322905584748,-0.2721553340634917,-57521.05351287805,-1.6415825774223187,47.34018264840182,35040,31536000
1,-69434.66299101505,-1.9815828479170963,590510515.4044623,16852.469046931004,-79818.27444158387,-2.2779187911410923,-59051.05154044625,-1.6852469046931007,84.52340182648402,35040,31536000
2,-35911.97224861999,-1.0248850527574198,618693612.3445678,17656.781174217118,-9954.583262783206,-0.284091988093128,-61869.36123445679,-1.765678117421712,19.63470319634703,35040,31536000
3,-30990.5512313959,-0.8844335397087871,610483237.571999,17422.4668256849,-932.7787055919116,-0.026620396849084235,-61048.3237571999,-1.7422466825684901,9.951484018264841,35040,31536000
4,-31261.51655797146,-0.8921665684352585,609938305.4258575,17406.915109185433,-1529.2025733571575,-0.04364162595197367,-60993.83054258576,-1.7406915109185435,15.136986301369863,35040,31536000
5,-33063.31288338636,-0.9435876964436747,599092555.0497215,17097.39026968383,-6217.370261800563,-0.17743636591896583,-59909.25550497215,-1.7097390269683832,40.804794520547944,35040,31536000
6,-31059.30295303175,-0.8863956322212257,588597991.5565896,16797.887886888973,-3258.80675040455,-0.0930024757535545,-58859.79915565895,-1.679788788688897,41.118721461187214,35040,31536000
7,-33118.451197962146,-0.9451612784806548,586470596.0422667,16737.17454458524,-7589.842791697606,-0.21660510250278556,-58647.05960422668,-1.6737174544585238,55.96461187214612,35040,31536000
8,-30297.17453509609,-0.8646453919833359,589389335.0540464,16820.471890811827,-1655.4155647875245,-0.04724359488548872,-58938.93350540464,-1.6820471890811826,22.871004566210047,35040,31536000
9,-31301.9883378135,-0.893321584983262,583916990.886211,16664.297685108762,-4212.277587005885,-0.1202134014556474,-58391.69908862112,-1.6664297685108767,41.76084474885845,35040,31536000
10,-30273.785315793033,-0.8639778914324496,592739722.5197514,16916.087971454093,-1273.5983796109097,-0.03634698571948943,-59273.97225197515,-1.6916087971454097,18.233447488584474,35040,31536000
11,-29770.125677124848,-0.8496040432969421,585972451.9704319,16722.958104178993,-943.0061572065032,-0.02691227617598468,-58597.245197043194,-1.6722958104178993,17.53139269406393,35040,31536000
12,-30618.827683458818,-0.8738249909662905,586115351.1123517,16727.036276037434,-2626.1202556824705,-0.07494635432883763,-58611.53511123517,-1.6727036276037435,31.167237442922374,35040,31536000
13,-29834.980402341964,-0.851454920158161,584212560.9736464,16672.73290449904,-1248.7047073192848,-0.03563654986641795,-58421.25609736464,-1.6672732904499041,22.725456621004568,35040,31536000
14,-30043.497747216614,-0.8574057576260449,585501835.5888335,16709.52727137082,-1536.8119355498768,-0.0438587881150079,-58550.18355888335,-1.6709527271370819,26.91780821917808,35040,31536000
15,-30069.90717221011,-0.8581594512617041,582680496.6675111,16629.00960809107,-1871.7646776691104,-0.053417941714301094,-58268.04966675113,-1.6629009608091077,30.04280821917808,35040,31536000
16,-30112.06599804369,-0.8593626140994204,593280790.4479879,16931.529407762213,-896.0529512885902,-0.025572287422619584,-59328.07904479879,-1.6931529407762211,20.759132420091326,35040,31536000
17,-29671.708687189377,-0.8467953392462721,578993844.5026715,16523.796932153866,-1444.0329241115996,-0.041210985277157525,-57899.384450267156,-1.652379693215387,25.973173515981735,35040,31536000
18,-30520.7920678581,-0.8710271708863613,586823105.4806297,16747.234745451762,-2359.273587653226,-0.0673308672275464,-58682.31054806297,-1.674723474545176,36.441210045662096,35040,31536000
19,-29809.32597678997,-0.8507227733102161,583397052.8100462,16649.4592696931,-1278.946672575332,-0.03649961965112249,-58339.70528100461,-1.6649459269693097,26.649543378995432,35040,31536000
20,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,0,0
