episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-16888.05522339421,-0.24098252316487173,217719187.07469833,3106.723559855855,-15260.100728702339,-0.21775257889130048,-21771.91870746983,-0.3106723559855855,68.02511415525115,0.21775257889130048,0.4179329831777543,15260.100728702339,35040,31536000
1,-15359.14416503608,-0.21916586993487555,222275197.13431013,3171.7351189256583,-13069.685648904437,-0.18649665594897882,-22227.519713431015,-0.3171735118925659,58.44178082191781,0.18649665594897882,0.38700121709154056,13069.685648904437,35040,31536000
2,-13288.72841168532,-0.18962226614847774,222593780.27485883,3176.2811112280083,-10298.51187308513,-0.14695365115703668,-22259.378027485884,-0.31762811112280087,55.31963470319635,0.14695365115703668,0.2807970007647112,10298.51187308513,35040,31536000
3,-12876.8055104337,-0.18374437086806078,223475909.94007942,3188.8685779120924,-9719.87701590895,-0.1386968752270113,-22347.590994007947,-0.3188868577912093,55.656392694063925,0.1386968752270113,0.2562221642047185,9719.87701590895,35040,31536000
4,-12866.961274979933,-0.1836038994717456,221730020.2005789,3163.9557677023245,-9764.947693287279,-0.13934000703891664,-22173.002020057887,-0.3163955767702324,55.84474885844749,0.13934000703891664,0.2592321907284439,9764.947693287279,35040,31536000
5,-12599.231088391542,-0.17978354863572404,222341808.2954798,3172.6856206546777,-9387.581174672729,-0.1339552108258095,-22234.18082954798,-0.3172685620654677,54.30365296803653,0.1339552108258095,0.24881488239617988,9387.581174672729,35040,31536000
6,-12591.994823014707,-0.17968029142429662,223203001.54210037,3184.97433707335,-9349.22637928293,-0.13340791066328384,-22320.30015421004,-0.318497433707335,53.413242009132425,0.13340791066328384,0.2575471254646648,9349.22637928293,35040,31536000
7,-12473.85795101142,-0.17799454838772003,224329527.44166246,3201.049192946097,-9154.159686626477,-0.13062442475209013,-22432.952744166247,-0.32010491929460966,52.402968036529685,0.13062442475209013,0.24820054855571597,9154.159686626477,35040,31536000
8,-12409.163158261883,-0.17707139209848577,222684446.70591348,3177.5748673789026,-9122.735987485392,-0.13017602721868424,-22268.44467059135,-0.3177574867378903,52.619863013698634,0.13017602721868424,0.25029061800182517,9122.735987485392,35040,31536000
9,-12328.838271828183,-0.1759252036505163,223372890.45238322,3187.398550975788,-8992.688014024803,-0.1283203198348288,-22337.289045238325,-0.31873985509757885,51.71232876712328,0.1283203198348288,0.2435691706508614,8992.688014024803,35040,31536000
10,-12184.245261205757,-0.17386194722040177,225907095.7583445,3223.560156369071,-8715.423822996194,-0.12436392441490003,-22590.709575834448,-0.3223560156369071,50.753424657534254,0.12436392441490003,0.23692874707842063,8715.423822996194,35040,31536000
11,-12129.957555107676,-0.17308729387996113,222009330.03487995,3167.9413532374424,-8772.965738980902,-0.12518501339870008,-22200.933003488,-0.3167941353237443,50.87899543378995,0.12518501339870008,0.24067751159200457,8772.965738980902,35040,31536000
12,-12018.87631705656,-0.17150223055160616,222524872.1119205,3175.2978326472676,-8607.672685678064,-0.12282637964723266,-22252.487211192052,-0.31752978326472675,49.94292237442922,0.12282637964723266,0.23674248978980195,8607.672685678064,35040,31536000
13,-12157.805969020164,-0.17348467421547037,225103818.68210632,3212.0978693222933,-8706.947335956673,-0.1242429699765507,-22510.381868210632,-0.32120978693222935,50.05707762557078,0.1242429699765507,0.23861761514417718,8706.947335956673,35040,31536000
14,-11955.085853153272,-0.17059197849819166,221738725.8700161,3164.079992437444,-8548.82360853716,-0.1219866382496741,-22173.872587001606,-0.31640799924374435,49.37214611872146,0.1219866382496741,0.23601275242198613,8548.82360853716,35040,31536000
15,-11917.669118493046,-0.1700580639054373,221295274.50190127,3157.7522046504178,-8513.71634126069,-0.1214856783855692,-22129.527450190122,-0.3157752204650417,49.86301369863014,0.1214856783855692,0.2331030836711291,8513.71634126069,35040,31536000
16,-12100.4122614701,-0.17266570007805507,225161783.4071259,3212.9249915400383,-8628.490235055937,-0.1231234337194055,-22516.17834071259,-0.3212924991540039,49.97716894977169,0.1231234337194055,0.23732313662851892,8628.490235055937,35040,31536000
17,-11893.799412541499,-0.16971745737074057,221654597.11038786,3162.8795249769955,-8469.912646375737,-0.12086062566175423,-22165.459711038784,-0.31628795249769953,49.37214611872146,0.12086062566175423,0.23254443423689453,8469.912646375737,35040,31536000
18,-11920.19443069466,-0.17009409861151056,221767895.80870882,3164.4962301471005,-8501.32938063592,-0.12130892381044406,-22176.78958087088,-0.3164496230147101,49.76027397260274,0.12130892381044406,0.2344635919050705,8501.32938063592,35040,31536000
19,-11836.594345801075,-0.16890599540228138,224808859.79306656,3207.9805330212985,-8288.497134632547,-0.11827530943566522,-22480.885979306655,-0.32079805330212985,49.35643140500585,0.11827530943566522,0.22832514008835783,8288.497134632547,35039,31535100
