episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-15971.370594861346,-0.2279019776664005,364818062.9522849,5205.737199661599,-15971.370594861346,-0.2279019776664005,-36481.80629522849,-0.52057371996616,74.29223744292237,0.2279019776664005,0.4056174711238092,15971.370594861346,35040,31536000
1,-13379.065569214634,-0.19091132376162434,372894449.15644836,5320.982436593156,-13379.065569214634,-0.19091132376162434,-37289.44491564484,-0.5320982436593156,62.26027397260274,0.19091132376162434,0.3523317426390515,13379.065569214634,35040,31536000
2,-11058.258867240947,-0.1577947897722738,374883408.94750446,5349.3637121504635,-11058.258867240947,-0.1577947897722738,-37488.34089475045,-0.5349363712150463,61.64954337899543,0.1577947897722738,0.2549312013412689,11058.258867240947,35040,31536000
3,-11209.111931401272,-0.1599473734503606,374089164.2650089,5338.030312000698,-11209.111931401272,-0.1599473734503606,-37408.916426500895,-0.5338030312000699,61.369863013698634,0.1599473734503606,0.26447725652295917,11209.111931401272,35040,31536000
4,-10528.751015788706,-0.1502390270517795,373553896.1089989,5330.392353153523,-10528.751015788706,-0.1502390270517795,-37355.38961089989,-0.5330392353153522,61.50114155251142,0.1502390270517795,0.23812412947611994,10528.751015788706,35040,31536000
5,-10400.662173127657,-0.14841127530147913,378428299.9607841,5399.947202636759,-10400.662173127657,-0.14841127530147913,-37842.829996078406,-0.5399947202636759,60.456621004566216,0.14841127530147913,0.2366162823795421,10400.662173127657,35040,31536000
6,-10547.15400056762,-0.15050162672042836,377846698.396158,5391.648093552482,-10547.15400056762,-0.15050162672042836,-37784.6698396158,-0.5391648093552484,61.10159817351598,0.15050162672042836,0.24027501055500874,10547.15400056762,35040,31536000
7,-10348.221979506912,-0.14766298486739315,379153161.43800616,5410.290545633649,-10348.221979506912,-0.14766298486739315,-37915.31614380062,-0.541029054563365,59.98858447488584,0.14766298486739315,0.2368667569131866,10348.221979506912,35040,31536000
8,-10293.284973848595,-0.14687906640765688,376181817.29367083,5367.891228505577,-10293.284973848595,-0.14687906640765688,-37618.18172936708,-0.5367891228505577,59.93150684931506,0.14687906640765688,0.23497111078098123,10293.284973848595,35040,31536000
9,-10162.902674189481,-0.14501858838740697,373268816.8870876,5326.324441881958,-10162.902674189481,-0.14501858838740697,-37326.88168870875,-0.5326324441881957,59.469178082191775,0.14501858838740697,0.23299660741508096,10162.902674189481,35040,31536000
10,-10159.451612108409,-0.14496934378008575,378589846.42706186,5402.252374815381,-10159.451612108409,-0.14496934378008575,-37858.98464270619,-0.5402252374815382,59.07534246575342,0.14496934378008575,0.23302920707248773,10159.451612108409,35040,31536000
11,-10074.649914239828,-0.1437592738904085,380097913.58099174,5423.77159790228,-10074.649914239828,-0.1437592738904085,-38009.79135809917,-0.5423771597902279,58.81849315068494,0.1437592738904085,0.231467045006443,10074.649914239828,35040,31536000
12,-9974.939433250775,-0.1423364645155647,378004105.7499002,5393.894203052229,-9974.939433250775,-0.1423364645155647,-37800.410574990026,-0.539389420305223,58.470319634703195,0.1423364645155647,0.22950253467105375,9974.939433250775,35040,31536000
13,-9922.61969031766,-0.1415898928412908,377029497.61195654,5379.987123458284,-9922.61969031766,-0.1415898928412908,-37702.949761195654,-0.5379987123458284,58.49315068493151,0.1415898928412908,0.22811676703319755,9922.61969031766,35040,31536000
14,-9928.477251868886,-0.14167347676753547,380888027.79687107,5435.046058745306,-9928.477251868886,-0.14167347676753547,-38088.80277968711,-0.5435046058745306,58.675799086758,0.14167347676753547,0.22775343736476367,9928.477251868886,35040,31536000
15,-9899.490221297827,-0.14125984904819958,375392903.3341693,5356.633894608581,-9899.490221297827,-0.14125984904819958,-37539.29033341693,-0.535663389460858,58.635844748858446,0.14125984904819958,0.22705053144474663,9899.490221297827,35040,31536000
16,-9932.053575060349,-0.14172450877654608,378129913.05415994,5395.68939860388,-9932.053575060349,-0.14172450877654608,-37812.99130541599,-0.539568939860388,58.9041095890411,0.14172450877654608,0.22764123198456626,9932.053575060349,35040,31536000
17,-9964.994849236487,-0.14219456120485854,375759729.9009306,5361.868291965334,-9964.994849236487,-0.14219456120485854,-37575.97299009306,-0.5361868291965334,58.955479452054796,0.14219456120485854,0.22724758046168622,9964.994849236487,35040,31536000
18,-9929.874681347967,-0.1416934172566776,374576603.03198016,5344.985773858164,-9929.874681347967,-0.1416934172566776,-37457.66030319801,-0.5344985773858164,58.82990867579909,0.1416934172566776,0.22697886963011024,9929.874681347967,35040,31536000
19,-9885.886622971964,-0.14106975973874775,382970350.52460027,5464.9155301892215,-9885.886622971964,-0.14106975973874775,-38297.03505246003,-0.5464915530189222,58.55189931219499,0.14106975973874775,0.22629812569094435,9885.886622971964,35039,31535100
