Time,WEST ZONE::Des Heat Load [W],WEST ZONE:WILLIAM R FAIRCHILD ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],WEST ZONE::Des Heat Mass Flow [kg/s],WEST ZONE:WILLIAM R FAIRCHILD ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],EAST ZONE::Des Heat Load [W],EAST ZONE:WILLIAM R FAIRCHILD ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],EAST ZONE::Des Heat Mass Flow [kg/s],EAST ZONE:WILLIAM R FAIRCHILD ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,0.000000E+00,4.753523E+04,0.000000E+00,3.888240E+00,0.000000E+00,5.282519E+04,0.000000E+00,4.320943E+00
00:30:00,0.000000E+00,4.750981E+04,0.000000E+00,3.886160E+00,0.000000E+00,5.279696E+04,0.000000E+00,4.318633E+00
00:45:00,0.000000E+00,4.748401E+04,0.000000E+00,3.884050E+00,0.000000E+00,5.276882E+04,0.000000E+00,4.316332E+00
01:00:00,0.000000E+00,4.745795E+04,0.000000E+00,3.881918E+00,0.000000E+00,5.274083E+04,0.000000E+00,4.314042E+00
01:15:00,0.000000E+00,4.743188E+04,0.000000E+00,3.879786E+00,0.000000E+00,5.271321E+04,0.000000E+00,4.311783E+00
01:30:00,0.000000E+00,4.740588E+04,0.000000E+00,3.877659E+00,0.000000E+00,5.268602E+04,0.000000E+00,4.309559E+00
01:45:00,0.000000E+00,4.738004E+04,0.000000E+00,3.875546E+00,0.000000E+00,5.265931E+04,0.000000E+00,4.307374E+00
02:00:00,0.000000E+00,4.735443E+04,0.000000E+00,3.873450E+00,0.000000E+00,5.263312E+04,0.000000E+00,4.305232E+00
02:15:00,0.000000E+00,4.732899E+04,0.000000E+00,3.871370E+00,0.000000E+00,5.260738E+04,0.000000E+00,4.303126E+00
02:30:00,0.000000E+00,4.730375E+04,0.000000E+00,3.869306E+00,0.000000E+00,5.258208E+04,0.000000E+00,4.301057E+00
02:45:00,0.000000E+00,4.727873E+04,0.000000E+00,3.867259E+00,0.000000E+00,5.255728E+04,0.000000E+00,4.299028E+00
