episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-16000.69876671366,-0.22832047326931593,426298993.25409883,6083.033579539081,-16000.69876671366,-0.22832047326931593,-42629.89932540989,-0.6083033579539082,93.71575342465754,0.22832047326931593,0.3319226476665094,16000.69876671366,35040,31536000
1,-622.037946332425,-0.008876112247894193,500144136.0615989,7136.759932385829,-622.037946332425,-0.008876112247894193,-50014.413606159906,-0.7136759932385831,14.765981735159816,0.008876112247894193,0.03949210796796891,622.037946332425,35040,31536000
2,-48757.09408767287,-0.6957347900638252,500639325.6662066,7143.825994095414,-48757.09408767287,-0.6957347900638252,-50063.93256662067,-0.7143825994095415,100.01712328767123,0.6957347900638252,0.8376449997854313,48757.09408767287,35040,31536000
3,-1446.4519832780948,-0.020640011176913452,484429961.6209231,6912.52799116614,-1446.4519832780948,-0.020640011176913452,-48442.996162092306,-0.691252799116614,19.668949771689498,0.020640011176913452,0.09219648355885181,1446.4519832780948,35040,31536000
4,-696.5481624126104,-0.009939328801549806,512215035.5650312,7309.0045029256735,-696.5481624126104,-0.009939328801549806,-51221.50355650312,-0.7309004502925673,23.847031963470318,0.009939328801549806,0.03475795290963268,696.5481624126104,35040,31536000
5,-753.6050067159659,-0.010753496100399057,508405928.8843372,7254.650811705725,-753.6050067159659,-0.010753496100399057,-50840.59288843372,-0.7254650811705725,12.922374429223742,0.010753496100399057,0.06617696999628289,753.6050067159659,35040,31536000
6,-7.076638481983004,-0.00010097943039359309,529549458.5927082,7556.356429690471,-7.076638481983004,-0.00010097943039359309,-52954.94585927081,-0.755635642969047,0.565068493150685,0.00010097943039359309,0.002821589846547629,7.076638481983004,35040,31536000
7,-664.2114177165396,-0.009477902650064778,507202733.91096044,7237.481933660965,-664.2114177165396,-0.009477902650064778,-50720.27339109606,-0.7237481933660967,19.800228310502284,0.009477902650064778,0.0360895467703197,664.2114177165396,35040,31536000
8,0.0,0.0,526737134.7985039,7516.226238563126,0.0,0.0,-52673.7134798504,-0.7516226238563127,0.0,0.0,0.0,0.0,35040,31536000
9,0.0,0.0,533529176.7072366,7613.144644795043,0.0,0.0,-53352.91767072366,-0.7613144644795043,0.0,0.0,0.0,0.0,35040,31536000
10,0.0,0.0,528225396.33636814,7537.462847265527,0.0,0.0,-52822.53963363682,-0.7537462847265528,0.0,0.0,0.0,0.0,35040,31536000
11,-342.26565230320983,-0.004883927686975026,525357396.872042,7496.538197375028,-342.26565230320983,-0.004883927686975026,-52535.7396872042,-0.7496538197375029,11.740867579908675,0.004883927686975026,0.02355178433730526,342.26565230320983,35040,31536000
12,0.0,0.0,521391098.6198525,7439.9414757399045,0.0,0.0,-52139.10986198526,-0.7439941475739905,0.0,0.0,0.0,0.0,35040,31536000
13,0.0,0.0,521321847.8758044,7438.953308730086,0.0,0.0,-52132.184787580445,-0.7438953308730086,0.0,0.0,0.0,0.0,35040,31536000
14,0.0,0.0,518867169.04030025,7403.926498862732,0.0,0.0,-51886.716904030036,-0.7403926498862733,0.0,0.0,0.0,0.0,35040,31536000
15,0.0,0.0,528833675.3697895,7546.142627993571,0.0,0.0,-52883.36753697895,-0.7546142627993572,0.0,0.0,0.0,0.0,35040,31536000
16,0.0,0.0,520211220.0217579,7423.105308529651,0.0,0.0,-52021.122002175805,-0.7423105308529653,0.0,0.0,0.0,0.0,35040,31536000
17,0.0,0.0,523523553.0309023,7470.370334345067,0.0,0.0,-52352.35530309025,-0.747037033434507,0.0,0.0,0.0,0.0,35040,31536000
18,0.0,0.0,516978617.67740273,7376.977991972071,0.0,0.0,-51697.86176774028,-0.7376977991972072,0.0,0.0,0.0,0.0,35040,31536000
19,0.0,0.0,518102490.5840188,7393.014991210314,0.0,0.0,-51810.249058401896,-0.7393014991210316,0.0,0.0,0.0,0.0,35040,31536000
20,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
