episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-99062.56527493459,-1.4135640022108247,1694005064.0155818,24172.446689720062,-28724.624148310977,-0.40988333544964295,-169400.50640155817,-2.417244668972006,111.87785388127853,0.40988333544964295,0.5163034659265627,28724.624148310977,35040,31536000
1,-209739.33708696393,-2.9928558374281384,1419941435.9164486,20261.72140291736,-277484.53058228304,-3.959539534564541,-141994.14359164488,-2.0261721402917363,199.80593607305937,3.959539534564541,1.6058407785355644,277484.53058228304,35040,31536000
2,-105672.42378325303,-1.507882759464227,1796230989.927877,25631.149970432034,-31721.74857371837,-0.45265052188525073,-179623.0989927877,-2.5631149970432037,72.89383561643835,0.45265052188525073,0.7425566216968984,31721.74857371837,35040,31536000
3,-98808.1008416593,-1.4099329457999328,1837873724.0110784,26225.367066368126,-13828.829282210716,-0.19732918496305246,-183787.37240110783,-2.622536706636813,35.36529680365297,0.19732918496305246,0.6010618519150686,13828.829282210716,35040,31536000
4,-92028.64468874791,-1.31319413083259,1805371622.905363,25761.581377074246,-3520.1270869594982,-0.0502301239577554,-180537.16229053633,-2.576158137707425,32.18036529680365,0.0502301239577554,0.14828346211646065,3520.1270869594982,35040,31536000
5,-90700.34805753863,-1.2942401263918184,1721166361.971183,24560.022288401586,-9284.059917958964,-0.13247802394347838,-172116.6361971183,-2.456002228840158,52.63698630136986,0.13247802394347838,0.27346038191944616,9284.059917958964,35040,31536000
6,-87270.28786626959,-1.2452952035711984,1692423816.1065314,24149.883220698222,-5298.194121886011,-0.07560208507257436,-169242.38161065316,-2.4149883220698225,56.695205479452056,0.07560208507257436,0.17330504723846557,5298.194121886011,35040,31536000
7,-87309.40263594851,-1.2458533481157037,1671356309.560279,23849.262408109003,-7483.174315869086,-0.10678045542050636,-167135.63095602795,-2.384926240810901,55.667808219178085,0.10678045542050636,0.23848681546922665,7483.174315869086,35040,31536000
8,-88086.8583420635,-1.2569471795385774,1634037205.0642416,23316.740939843632,-12769.996177702862,-0.182220265092792,-163403.72050642414,-2.331674093984363,75.22260273972603,0.182220265092792,0.33481607743629965,12769.996177702862,35040,31536000
9,-87203.82144337769,-1.2443467671714852,1684484902.9762557,24036.599642926023,-5959.152589129815,-0.08503357005036837,-168448.49029762557,-2.4036599642926024,54.4634703196347,0.08503357005036837,0.20589245238531811,5959.152589129815,35040,31536000
10,-87066.81057021511,-1.2423917033421106,1640598892.5928195,23410.37232581078,-10073.731881148244,-0.14374617410314275,-164059.88925928192,-2.3410372325810775,64.81735159817352,0.14374617410314275,0.29620901080799295,10073.731881148244,35040,31536000
11,-86657.90177602743,-1.2365568175803001,1656058612.6877372,23630.973354562462,-7709.942283281108,-0.11001629970435371,-165605.8612687737,-2.3630973354562457,54.95433789954338,0.11001629970435371,0.2587139914048301,7709.942283281108,35040,31536000
12,-86876.89629363237,-1.239681739349777,1659676045.1480618,23682.591968436955,-7786.188072458533,-0.11110428185585805,-165967.60451480618,-2.3682591968436957,56.66095890410959,0.11110428185585805,0.2660550422274033,7786.188072458533,35040,31536000
13,-87087.38363825307,-1.2426852688106889,1683176189.9718285,24017.925085214447,-5857.148279323261,-0.08357802909993238,-168317.61899718284,-2.401792508521445,41.32420091324201,0.08357802909993238,0.23651724759308518,5857.148279323261,35040,31536000
14,-87354.26215900693,-1.2464934668808068,1656368181.2977169,23635.39071486468,-9071.706188242184,-0.12944786227514532,-165636.81812977168,-2.363539071486468,64.65182648401826,0.12944786227514532,0.26581209113943566,9071.706188242184,35040,31536000
15,-86403.21974718643,-1.232922656209852,1679617294.9338446,23967.141765608514,-4844.710000988416,-0.06913113585885297,-167961.72949338445,-2.396714176560851,44.492009132420094,0.06913113585885297,0.19801590208278422,4844.710000988416,35040,31536000
16,-86718.12422911849,-1.2374161562374213,1687079078.3386264,24073.616985425604,-4728.340624374312,-0.06747061393228185,-168707.90783386264,-2.4073616985425605,47.45433789954338,0.06747061393228185,0.1859027222020931,4728.340624374312,35040,31536000
17,-87355.95703407255,-1.2465176517419028,1652875281.066419,23585.549101975157,-9424.385961503176,-0.1344803932862896,-165287.5281066419,-2.358554910197516,65.89611872146118,0.1344803932862896,0.27815827436003226,9424.385961503176,35040,31536000
18,-87860.7489263294,-1.253720732396253,1646402530.7695084,23493.18679751011,-11081.244775707955,-0.1581227850414948,-164640.25307695084,-2.349318679751011,75.55365296803653,0.1581227850414948,0.2845492631614108,11081.244775707955,35040,31536000
19,-87631.08303641161,-1.2504435364784763,1668185915.3536937,23804.022764750196,-8443.57453745383,-0.1204847964819325,-166818.59153536937,-2.3804022764750195,60.77625570776256,0.1204847964819325,0.24882489333855973,8443.57453745383,35040,31536000
20,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
