episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-28724.624148310977,-0.40988333544964295,1694005064.0155818,24172.446689720062,-28724.624148310977,-0.40988333544964295,-169400.50640155817,-2.417244668972006,111.87785388127853,0.40988333544964295,0.5163034659265627,28724.624148310977,35040,31536000
1,-359.3932840246525,-0.00512832882455269,1847432595.7284377,26361.766491558756,-359.3932840246525,-0.00512832882455269,-184743.25957284376,-2.6361766491558756,6.36986301369863,0.00512832882455269,0.033698228770307204,359.3932840246525,35040,31536000
2,-47707.830549970655,-0.6807624222313164,1784266543.7245297,25460.424425292946,-47707.830549970655,-0.6807624222313164,-178426.654372453,-2.546042442529295,125.75913242009133,0.6807624222313164,0.7538003674237119,47707.830549970655,35040,31536000
3,-15767.694443649509,-0.22499563989225896,1814157845.1643844,25886.955553144755,-15767.694443649509,-0.22499563989225896,-181415.78451643843,-2.5886955553144753,46.050228310502284,0.22499563989225896,0.6423693426120843,15767.694443649509,35040,31536000
4,-903.5631207161737,-0.012893309370949967,1777798316.5329916,25368.126662856615,-903.5631207161737,-0.012893309370949967,-177779.83165329916,-2.5368126662856616,17.83675799086758,0.012893309370949967,0.05038134513890639,903.5631207161737,35040,31536000
5,-1085.915363850865,-0.015495367634858235,1774858461.802208,25326.17668096758,-1085.915363850865,-0.015495367634858235,-177485.8461802208,-2.532617668096758,30.696347031963473,0.015495367634858235,0.04685365035119994,1085.915363850865,35040,31536000
6,-1098.5546130289263,-0.015675722217878513,1807364868.8055809,25790.023812865024,-1098.5546130289263,-0.015675722217878513,-180736.4868805581,-2.579002381286503,35.95890410958904,0.015675722217878513,0.045919478519697965,1098.5546130289263,35040,31536000
7,-5236.856992215522,-0.07472684064234478,1816554769.6474447,25921.15824268614,-5236.856992215522,-0.07472684064234478,-181655.47696474445,-2.5921158242686135,71.2214611872146,0.07472684064234478,0.12524115935368696,5236.856992215522,35040,31536000
8,-26.924797064868514,-0.00038420087135942517,1837924165.5710115,26226.086837485895,-26.924797064868514,-0.00038420087135942517,-183792.41655710115,-2.6226086837485894,1.5981735159817352,0.00038420087135942517,0.005763508147118502,26.924797064868514,35040,31536000
9,-73.47744141582872,-0.00104847947225783,1853965482.4997306,26454.98690781579,-73.47744141582872,-0.00104847947225783,-185396.54824997307,-2.6454986907815794,3.458904109589041,0.00104847947225783,0.01022452813350835,73.47744141582872,35040,31536000
10,-1.37853507596612,-1.9670877225543947e-05,1842112411.5338411,26285.85062120207,-1.37853507596612,-1.9670877225543947e-05,-184211.24115338412,-2.6285850621202074,0.07420091324200913,1.9670877225543947e-05,0.0013202529937181107,1.37853507596612,35040,31536000
11,-1.6384223582124804,-2.337931447221005e-05,1821156593.848747,25986.823542362257,-1.6384223582124804,-2.337931447221005e-05,-182115.65938487474,-2.5986823542362263,0.09703196347031963,2.337931447221005e-05,0.0015406123330380629,1.6384223582124804,35040,31536000
12,-192.73279925989667,-0.0027501826378409913,1821706442.1128817,25994.669550697512,-192.73279925989667,-0.0027501826378409913,-182170.64421128813,-2.599466955069751,7.9337899543379,0.0027501826378409913,0.017698554535592895,192.73279925989667,35040,31536000
13,-771.2522736348949,-0.011005312123785601,1785248771.971001,25474.44023931223,-771.2522736348949,-0.011005312123785601,-178524.87719710008,-2.547444023931223,29.59474885844749,0.011005312123785601,0.034045431840719065,771.2522736348949,35040,31536000
14,-34.43037907914873,-0.0004913010713348848,1819375577.1313112,25961.409491028982,-34.43037907914873,-0.0004913010713348848,-181937.55771313113,-2.5961409491028986,0.5764840182648402,0.0004913010713348848,0.016505088848295688,34.43037907914873,35040,31536000
15,-90.61868484000456,-0.0012930748407534898,1836349581.1321032,26203.6184522275,-90.61868484000456,-0.0012930748407534898,-183634.95811321028,-2.6203618452227495,3.9497716894977173,0.0012930748407534898,0.012190875515145642,90.61868484000456,35040,31536000
16,-881.7727230962342,-0.012582373331852657,1786093469.7630548,25486.493575386055,-881.7727230962342,-0.012582373331852657,-178609.3469763055,-2.548649357538606,35.47374429223744,0.012582373331852657,0.03920434811289434,881.7727230962342,35040,31536000
17,-379.8125357200685,-0.0054196994252292885,1772460657.4977593,25291.96143689725,-379.8125357200685,-0.0054196994252292885,-177246.0657497759,-2.529196143689725,14.417808219178083,0.0054196994252292885,0.025732234747657467,379.8125357200685,35040,31536000
18,-100.75174761112268,-0.0014376676314372529,1807112192.087017,25786.418266081866,-100.75174761112268,-0.0014376676314372529,-180711.21920870175,-2.578641826608187,4.937214611872146,0.0014376676314372529,0.011622697335860322,100.75174761112268,35040,31536000
19,-51.58841002285433,-0.0007361359877690401,1840908966.9884944,26268.67818191345,-51.58841002285433,-0.0007361359877690401,-184090.89669884945,-2.6268678181913447,2.0947488584474887,0.0007361359877690401,0.00984159945662318,51.58841002285433,35040,31536000
20,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
