episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-67057.45959633717,-0.9568701426417975,1150421021.9390903,16415.825084747292,-19072.816998765316,-0.2721577768088658,-115042.10219390904,-1.6415825084747295,94.67465753424658,0.2721577768088658,0.40386632101713843,19072.816998765316,35040,31536000
1,-112461.21895055386,-1.6047548366232,1111313605.3604536,15857.785464618344,-113791.07736506233,-1.6237311267845653,-111131.36053604537,-1.5857785464618346,91.68949771689498,1.6237311267845653,2.2136512571781917,113791.07736506233,35040,31536000
2,-75701.86549380366,-1.080220683416148,1278283402.6940765,18240.345358077575,-23575.390718199706,-0.33640683102453917,-127828.34026940765,-1.8240345358077577,50.28538812785388,0.33640683102453917,0.7154067452580615,23575.390718199706,35040,31536000
3,-68062.35366923285,-0.9712093845495555,1249229157.5560884,17825.758526770667,-11201.791582856828,-0.15984291642204376,-124922.91575560885,-1.782575852677067,66.99771689497716,0.15984291642204376,0.2878209890193977,11201.791582856828,35040,31536000
4,-65639.3887391347,-0.9366351132867393,1201698479.7322965,17147.52396878277,-11108.929505039738,-0.15851782969520173,-120169.84797322965,-1.714752396878277,68.10502283105023,0.15851782969520173,0.26473495063331726,11108.929505039738,35040,31536000
5,-63035.06591564119,-0.8994729725405421,1181417056.2137995,16858.120094374994,-7928.426209902432,-0.11313393564358493,-118141.70562137995,-1.6858120094374993,54.93721461187214,0.11313393564358493,0.22732332831928492,7928.426209902432,35040,31536000
6,-60636.30572845594,-0.8652440885909809,1204838187.970668,17192.325741590583,-788.7926598450902,-0.011255603022903684,-120483.8187970668,-1.7192325741590582,23.224885844748858,0.011255603022903684,0.04067762472433392,788.7926598450902,35040,31536000
7,-62203.3484994623,-0.887604858725204,1208206598.5336409,17240.390960811084,-3586.0371455604527,-0.051170621369298695,-120820.65985336414,-1.7240390960811092,47.608447488584474,0.051170621369298695,0.12029089770369078,3586.0371455604527,35040,31536000
8,-62002.35967775834,-0.8847368675479215,1205065021.822993,17195.56252601303,-3498.217173217363,-0.04991748249454,-120506.50218229929,-1.7195562526013026,52.75114155251141,0.04991748249454,0.10049491619774766,3498.217173217363,35040,31536000
9,-61947.27129783094,-0.8839507890672224,1210722329.6168752,17276.288950012487,-2822.3096339743493,-0.040272683133195625,-121072.23296168755,-1.7276288950012493,54.577625570776256,0.040272683133195625,0.08620846722550914,2822.3096339743493,35040,31536000
10,-60616.76998664858,-0.8649653251519489,1186365216.74493,16928.727407889983,-2597.018298804126,-0.03705790951489906,-118636.52167449302,-1.6928727407889985,48.4189497716895,0.03705790951489906,0.0930648059096123,2597.018298804126,35040,31536000
11,-61812.40104902654,-0.8820262706767487,1173066568.3277884,16738.96358915223,-6318.145265274267,-0.09015618243827436,-117306.65683277881,-1.6738963589152227,82.16324200913242,0.09015618243827436,0.13745445837272782,6318.145265274267,35040,31536000
12,-62639.5582802509,-0.8938293133597446,1174532550.974641,16759.88229130481,-7825.861463037688,-0.1116703975890081,-117453.25509746412,-1.675988229130481,86.79794520547945,0.1116703975890081,0.17948081626257714,7825.861463037688,35040,31536000
13,-61150.19987062652,-0.8725770529484378,1179189003.8541615,16826.327109791117,-4381.499355836876,-0.06252139491776364,-117918.90038541616,-1.6826327109791117,69.45776255707763,0.06252139491776364,0.12344786946233255,4381.499355836876,35040,31536000
14,-61041.6504094663,-0.8710281165734347,1193565863.0677075,17031.476356559753,-2726.7145121618296,-0.03890859749089369,-119356.58630677077,-1.7031476356559756,61.78082191780822,0.03890859749089369,0.07736252860796496,2726.7145121618296,35040,31536000
15,-60528.77730569004,-0.8637097218277688,1184164373.038862,16897.322674641295,-2641.1173074938765,-0.03768717619140806,-118416.4373038862,-1.6897322674641295,47.71118721461187,0.03768717619140806,0.09237612727514218,2641.1173074938765,35040,31536000
16,-60185.83139946372,-0.8588160873211147,1166077923.8653445,16639.23978118357,-3763.870412392971,-0.053708196523872306,-116607.79238653448,-1.6639239781183572,64.20662100456622,0.053708196523872306,0.11259426503463059,3763.870412392971,35040,31536000
17,-60600.73417612869,-0.8647365036548044,1174248529.3664155,16755.829471552734,-3776.615415615853,-0.053890060154335805,-117424.85293664153,-1.675582947155273,63.73287671232877,0.053890060154335805,0.10750846271327125,3776.615415615853,35040,31536000
18,-61049.30682893429,-0.8711373691343364,1159454476.9480913,16544.727125400845,-6153.165963059451,-0.08780202572858806,-115945.44769480915,-1.6544727125400849,81.64383561643835,0.08780202572858806,0.1521067108562195,6153.165963059451,35040,31536000
19,-59760.7940603549,-0.8527510567973017,1182896506.3460321,16879.230969549546,-1231.937486106602,-0.017579016639649,-118289.6506346032,-1.6879230969549543,34.549086757990864,0.017579016639649,0.051851258340291834,1231.937486106602,35040,31536000
20,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
