episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-19072.816998765316,-0.2721577768088658,1150421021.9390903,16415.825084747292,-19072.816998765316,-0.2721577768088658,-115042.10219390904,-1.6415825084747295,94.67465753424658,0.2721577768088658,0.40386632101713843,19072.816998765316,35040,31536000
1,-4631.67105943077,-0.06609119662429751,1261536798.8340054,18001.381261900762,-4631.67105943077,-0.06609119662429751,-126153.67988340053,-1.8001381261900762,30.747716894977167,0.06609119662429751,0.19282163307975886,4631.67105943077,35040,31536000
2,-194857.67744796723,-2.7805033882415415,1133371796.1916587,16172.542753876409,-194857.67744796723,-2.7805033882415415,-113337.1796191659,-1.617254275387641,187.84246575342465,2.7805033882415415,0.8884679993816089,194857.67744796723,35040,31536000
3,-46.180628254547,-0.0006589701520340612,1264823410.3935297,18048.27925789854,-46.180628254547,-0.0006589701520340612,-126482.34103935298,-1.804827925789854,1.2442922374429224,0.0006589701520340612,0.010861309941751784,46.180628254547,35040,31536000
4,-2584.9528816234965,-0.036885743173851265,1301547748.4271297,18572.313761802652,-2584.9528816234965,-0.036885743173851265,-130154.77484271294,-1.8572313761802646,18.82420091324201,0.036885743173851265,0.14986958329378733,2584.9528816234965,35040,31536000
5,-350.6913671452556,-0.005004157636205131,1274858543.5543845,18191.474651175577,-350.6913671452556,-0.005004157636205131,-127485.85435543848,-1.8191474651175583,11.803652968036529,0.005004157636205131,0.02452829272824287,350.6913671452556,35040,31536000
6,-439.73162906330134,-0.006274709318825647,1305461601.2508519,18628.162118305536,-439.73162906330134,-0.006274709318825647,-130546.1601250852,-1.8628162118305536,12.397260273972604,0.006274709318825647,0.03307601972849126,439.73162906330134,35040,31536000
7,-6351.259516298412,-0.09062870314352757,1235462117.184668,17629.311032886246,-6351.259516298412,-0.09062870314352757,-123546.21171846679,-1.7629311032886243,82.3744292237443,0.09062870314352757,0.13597894154580345,6351.259516298412,35040,31536000
8,0.0,0.0,1291047943.0244856,18422.487771468117,0.0,0.0,-129104.79430244857,-1.842248777146812,0.0,0.0,0.0,0.0,35040,31536000
9,0.0,0.0,1308177597.4686074,18666.91777209771,0.0,0.0,-130817.75974686076,-1.866691777209771,0.0,0.0,0.0,0.0,35040,31536000
10,0.0,0.0,1283610162.2878036,18316.35505547665,0.0,0.0,-128361.01622878034,-1.8316355055476647,0.0,0.0,0.0,0.0,35040,31536000
11,0.0,0.0,1271271456.2316527,18140.289044401437,0.0,0.0,-127127.14562316528,-1.8140289044401439,0.0,0.0,0.0,0.0,35040,31536000
12,0.0,0.0,1293278300.7408853,18454.313652124503,0.0,0.0,-129327.83007408855,-1.8454313652124508,0.0,0.0,0.0,0.0,35040,31536000
13,0.0,0.0,1285782764.0788794,18347.356793363004,0.0,0.0,-128578.27640788794,-1.8347356793363006,0.0,0.0,0.0,0.0,35040,31536000
14,0.0,0.0,1284104792.7039633,18323.41313789902,0.0,0.0,-128410.47927039633,-1.832341313789902,0.0,0.0,0.0,0.0,35040,31536000
15,0.0,0.0,1286697209.154533,18360.405381771303,0.0,0.0,-128669.72091545328,-1.83604053817713,0.0,0.0,0.0,0.0,35040,31536000
16,0.0,0.0,1271385336.0307364,18141.91404153448,0.0,0.0,-127138.53360307367,-1.8141914041534484,0.0,0.0,0.0,0.0,35040,31536000
17,0.0,0.0,1279290113.767832,18254.710527509018,0.0,0.0,-127929.01137678322,-1.8254710527509022,0.0,0.0,0.0,0.0,35040,31536000
18,0.0,0.0,1273830429.3214397,18176.804071367576,0.0,0.0,-127383.042932144,-1.817680407136758,0.0,0.0,0.0,0.0,35040,31536000
19,0.0,0.0,1282204202.2968307,18296.29284099359,0.0,0.0,-128220.42022968309,-1.829629284099359,0.0,0.0,0.0,0.0,35040,31536000
20,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
